# name=carbonate_calcite  source=USGS_splib07a  instrument=BECK_Beckman  class=carbonate
wavelength_um,reflectance
0.213100,0.59502816
0.221100,0.62703598
0.229100,0.64464539
0.236100,0.65672970
0.242100,0.66092163
0.248100,0.66786379
0.253600,0.67496508
0.258600,0.67945498
0.263600,0.68323386
0.268600,0.68861574
0.273100,0.69310123
0.277100,0.69755554
0.281100,0.70049298
0.285100,0.70533800
0.289100,0.70812476
0.293100,0.71293736
0.297100,0.71860522
0.301100,0.72448099
0.305100,0.72808546
0.309100,0.73182487
0.313100,0.73412657
0.317100,0.73952782
0.321100,0.74272358
0.325100,0.74465662
0.329100,0.74766725
0.333100,0.75026715
0.337100,0.75257558
0.341100,0.75585049
0.345100,0.75805861
0.349100,0.75895810
0.353100,0.76117384
0.357100,0.76553696
0.360600,0.76870394
0.363600,0.77014130
0.366600,0.77209699
0.369600,0.77551091
0.372600,0.77649796
0.375600,0.78105950
0.378600,0.78303736
0.381100,0.78695959
0.383100,0.78896379
0.385100,0.79136932
0.387100,0.79305947
0.389100,0.79635686
0.391100,0.79839134
0.393100,0.79936719
0.395100,0.80267209
0.397100,0.80462903
0.399100,0.80746573
0.401100,0.80878353
0.403100,0.81151348
0.405100,0.81216437
0.407100,0.81492102
0.409100,0.81759697
0.411100,0.82145953
0.412800,0.82111263
0.415800,0.82311237
0.418800,0.82640660
0.421800,0.82748395
0.424800,0.83099973
0.427800,0.83297479
0.430800,0.83673465
0.433800,0.83719009
0.436800,0.84010363
0.439800,0.84266150
0.442800,0.84431440
0.445800,0.84639937
0.448800,0.84895235
0.451300,0.85059309
0.453300,0.85073972
0.455300,0.85316604
0.457300,0.85485607
0.459300,0.85406023
0.461300,0.85389334
0.463300,0.85523093
0.465300,0.85627151
0.467300,0.85815555
0.469300,0.85837668
0.471300,0.85865349
0.473300,0.86062360
0.475300,0.86160797
0.477300,0.86174202
0.479300,0.86090893
0.481300,0.86115438
0.483300,0.86255622
0.485300,0.86401486
0.487300,0.86391890
0.489300,0.86524415
0.491300,0.86501873
0.493300,0.86709470
0.495300,0.86672992
0.497300,0.86796379
0.499300,0.86873370
0.501300,0.86976826
0.503300,0.86981601
0.505300,0.87066245
0.507300,0.86987138
0.509300,0.87173611
0.511300,0.87075043
0.513300,0.87360013
0.515300,0.87316906
0.517300,0.87316281
0.519300,0.87235832
0.521300,0.87512606
0.523300,0.87430686
0.525300,0.87841481
0.527300,0.87704474
0.529300,0.87741309
0.531300,0.87742323
0.533300,0.87749290
0.535300,0.87820679
0.537300,0.87985259
0.539300,0.87939948
0.541300,0.87959737
0.543300,0.88159513
0.545300,0.88368279
0.547300,0.88206404
0.549300,0.88176858
0.551300,0.88269651
0.553300,0.88222969
0.555300,0.88315934
0.557300,0.88442492
0.559300,0.88215786
0.561300,0.88677037
0.563300,0.88732499
0.565300,0.88749689
