# name=chlorite  source=USGS_splib07a  instrument=ASD_FieldSpec  class=phyllosilicate
wavelength_um,reflectance
0.350000,0.21480560
0.351000,0.21351080
0.352000,0.21285047
0.353000,0.21378310
0.354000,0.21676084
0.355000,0.21893828
0.356000,0.21469700
0.357000,0.19349892
0.358000,0.19146506
0.359000,0.20069328
0.360000,0.20047501
0.361000,0.20260292
0.362000,0.20648925
0.363000,0.20995472
0.364000,0.21395750
0.365000,0.21350409
0.366000,0.20882078
0.367000,0.20129040
0.368000,0.20352714
0.369000,0.21047345
0.370000,0.21405137
0.371000,0.21764131
0.372000,0.22076847
0.373000,0.22326612
0.374000,0.22644474
0.375000,0.22521546
0.376000,0.22268276
0.377000,0.22297409
0.378000,0.22489290
0.379000,0.22870356
0.380000,0.23294745
0.381000,0.23524049
0.382000,0.23586592
0.383000,0.23675217
0.384000,0.23886947
0.385000,0.24015029
0.386000,0.23971219
0.387000,0.23869587
0.388000,0.24229975
0.389000,0.24679568
0.390000,0.24888143
0.391000,0.24997056
0.392000,0.25044844
0.393000,0.25145867
0.394000,0.25327244
0.395000,0.25426206
0.396000,0.25433215
0.397000,0.25465009
0.398000,0.25709927
0.399000,0.25984880
0.400000,0.26140594
0.401000,0.26241717
0.402000,0.26253036
0.403000,0.26303035
0.404000,0.26438776
0.405000,0.26560640
0.406000,0.26570085
0.407000,0.26564708
0.408000,0.26784921
0.409000,0.26979798
0.410000,0.27041921
0.411000,0.27064520
0.412000,0.27099010
0.413000,0.27162451
0.414000,0.27228624
0.415000,0.27304947
0.416000,0.27399668
0.417000,0.27525038
0.418000,0.27718633
0.419000,0.27846935
0.420000,0.27917823
0.421000,0.28002551
0.422000,0.28091750
0.423000,0.28194165
0.424000,0.28305548
0.425000,0.28431442
0.426000,0.28561640
0.427000,0.28708681
0.428000,0.28892171
0.429000,0.29055178
0.430000,0.29176086
0.431000,0.29281330
0.432000,0.29410174
0.433000,0.29566091
0.434000,0.29720819
0.435000,0.29854181
0.436000,0.30002689
0.437000,0.30163875
0.438000,0.30316591
0.439000,0.30460525
0.440000,0.30584186
0.441000,0.30696842
0.442000,0.30819163
0.443000,0.30950293
0.444000,0.31084231
0.445000,0.31222075
0.446000,0.31356767
0.447000,0.31482518
0.448000,0.31600109
0.449000,0.31721678
0.450000,0.31822270
0.451000,0.31909087
0.452000,0.32014722
0.453000,0.32127920
0.454000,0.32243219
0.455000,0.32364810
0.456000,0.32477415
0.457000,0.32590589
0.458000,0.32706112
0.459000,0.32812226
0.460000,0.32881552
0.461000,0.32948768
0.462000,0.33067539
0.463000,0.33162352
0.464000,0.33236456
0.465000,0.33323765
0.466000,0.33407718
0.467000,0.33485037
0.468000,0.33555916
0.469000,0.33631650
0.470000,0.33677286
0.471000,0.33726034
0.472000,0.33819383
0.473000,0.33896384
0.474000,0.33955756
0.475000,0.34020096
0.476000,0.34087104
0.477000,0.34162340
0.478000,0.34239882
0.479000,0.34321439
0.480000,0.34379604
0.481000,0.34454200
0.482000,0.34571242
0.483000,0.34685230
0.484000,0.34777313
0.485000,0.34863123
0.486000,0.34956801
0.487000,0.35073984
0.488000,0.35185340
0.489000,0.35265750
0.490000,0.35341147
0.491000,0.35439965
0.492000,0.35554272
0.493000,0.35663170
0.494000,0.35735881
0.495000,0.35794452
0.496000,0.35875446
0.497000,0.35962963
0.498000,0.36041003
0.499000,0.36110824
0.500000,0.36176515
0.501000,0.36257786
0.502000,0.36347887
0.503000,0.36424479
0.504000,0.36483651
0.505000,0.36545554
0.506000,0.36624992
0.507000,0.36701417
0.508000,0.36767015
0.509000,0.36829531
0.510000,0.36883962
0.511000,0.36962712
0.512000,0.37056231
0.513000,0.37130761
0.514000,0.37198722
0.515000,0.37274384
0.516000,0.37358084
0.517000,0.37442115
0.518000,0.37518984
0.519000,0.37591562
0.520000,0.37657398
0.521000,0.37745556
0.522000,0.37840456
0.523000,0.37913302
0.524000,0.37975720
0.525000,0.38040853
0.526000,0.38109887
0.527000,0.38167721
0.528000,0.38224387
0.529000,0.38286766
0.530000,0.38348272
0.531000,0.38414243
0.532000,0.38477883
0.533000,0.38533324
0.534000,0.38584146
0.535000,0.38635039
0.536000,0.38686255
0.537000,0.38737500
0.538000,0.38780656
0.539000,0.38823935
0.540000,0.38879794
0.541000,0.38939327
0.542000,0.38989007
0.543000,0.39028645
0.544000,0.39066240
0.545000,0.39111099
0.546000,0.39159429
0.547000,0.39202923
0.548000,0.39242145
0.549000,0.39285144
0.550000,0.39335868
0.551000,0.39385954
0.552000,0.39425316
0.553000,0.39457396
0.554000,0.39491805
0.555000,0.39536986
0.556000,0.39584646
0.557000,0.39624146
0.558000,0.39661443
0.559000,0.39704624
0.560000,0.39753821
0.561000,0.39795381
0.562000,0.39833412
0.563000,0.39873338
0.564000,0.39908439
0.565000,0.39947426
0.566000,0.39986435
0.567000,0.40015602
0.568000,0.40056413
0.569000,0.40101945
0.570000,0.40140605
0.571000,0.40179718
0.572000,0.40211836
0.573000,0.40239245
0.574000,0.40266749
0.575000,0.40302458
0.576000,0.40338787
0.577000,0.40368029
0.578000,0.40399021
0.579000,0.40432039
0.580000,0.40464863
0.581000,0.40499088
0.582000,0.40529886
0.583000,0.40558669
0.584000,0.40588346
0.585000,0.40622589
0.586000,0.40656716
0.587000,0.40686753
0.588000,0.40709493
0.589000,0.40732053
0.590000,0.40758407
0.591000,0.40785298
0.592000,0.40814719
0.593000,0.40844816
0.594000,0.40873584
0.595000,0.40909421
0.596000,0.40947562
0.597000,0.40981516
0.598000,0.41001445
0.599000,0.41030657
0.600000,0.41066867
0.601000,0.41090339
0.602000,0.41109270
0.603000,0.41132504
0.604000,0.41161343
0.605000,0.41199845
0.606000,0.41242787
0.607000,0.41280195
0.608000,0.41297999
0.609000,0.41323590
0.610000,0.41360265
0.611000,0.41393924
0.612000,0.41422957
0.613000,0.41445673
0.614000,0.41466871
0.615000,0.41497299
0.616000,0.41525835
0.617000,0.41546699
0.618000,0.41562721
0.619000,0.41584381
0.620000,0.41610181
0.621000,0.41634277
0.622000,0.41658029
0.623000,0.41686755
0.624000,0.41720739
0.625000,0.41758347
0.626000,0.41793022
0.627000,0.41820294
0.628000,0.41839623
0.629000,0.41865116
0.630000,0.41890696
0.631000,0.41909760
0.632000,0.41933531
0.633000,0.41957840
0.634000,0.41981056
0.635000,0.42011216
0.636000,0.42028522
0.637000,0.42039591
0.638000,0.42056966
0.639000,0.42077681
0.640000,0.42093855
0.641000,0.42105120
0.642000,0.42119795
0.643000,0.42138132
0.644000,0.42156562
0.645000,0.42174438
0.646000,0.42186043
0.647000,0.42196888
0.648000,0.42211518
0.649000,0.42230442
0.650000,0.42246985
0.651000,0.42259410
0.652000,0.42266822
0.653000,0.42286569
0.654000,0.42309031
0.655000,0.42320845
0.656000,0.42328179
0.657000,0.42339298
0.658000,0.42354649
0.659000,0.42370650
0.660000,0.42379048
0.661000,0.42383555
0.662000,0.42389467
0.663000,0.42404655
0.664000,0.42419276
0.665000,0.42425826
0.666000,0.42433298
0.667000,0.42441410
0.668000,0.42451081
0.669000,0.42470428
0.670000,0.42482695
0.671000,0.42488939
0.672000,0.42498621
0.673000,0.42510960
0.674000,0.42523566
0.675000,0.42534649
0.676000,0.42546940
0.677000,0.42556956
0.678000,0.42567277
0.679000,0.42584983
0.680000,0.42596740
0.681000,0.42607054
0.682000,0.42623442
0.683000,0.42642316
0.684000,0.42659348
0.685000,0.42673963
0.686000,0.42687079
0.687000,0.42704171
0.688000,0.42721185
0.689000,0.42732313
0.690000,0.42745697
0.691000,0.42761296
0.692000,0.42776182
0.693000,0.42791814
0.694000,0.42806926
0.695000,0.42821977
0.696000,0.42836905
0.697000,0.42856464
0.698000,0.42877111
0.699000,0.42894939
0.700000,0.42912862
0.701000,0.42931795
0.702000,0.42951176
0.703000,0.42972872
0.704000,0.42989311
0.705000,0.43003514
0.706000,0.43021315
0.707000,0.43043587
0.708000,0.43069604
0.709000,0.43096390
0.710000,0.43121371
0.711000,0.43142360
0.712000,0.43163243
0.713000,0.43188652
0.714000,0.43214998
0.715000,0.43242085
0.716000,0.43271711
0.717000,0.43298674
0.718000,0.43327385
0.719000,0.43358469
0.720000,0.43383342
0.721000,0.43408930
0.722000,0.43439719
0.723000,0.43475100
0.724000,0.43506506
0.725000,0.43533549
0.726000,0.43561232
0.727000,0.43588534
0.728000,0.43623134
0.729000,0.43661419
0.730000,0.43693063
0.731000,0.43726355
0.732000,0.43763050
0.733000,0.43799922
0.734000,0.43834573
0.735000,0.43868753
0.736000,0.43904296
0.737000,0.43939793
0.738000,0.43977806
0.739000,0.44014969
0.740000,0.44045219
0.741000,0.44082925
0.742000,0.44125032
0.743000,0.44163841
0.744000,0.44202182
0.745000,0.44240892
0.746000,0.44280511
0.747000,0.44319698
0.748000,0.44362611
0.749000,0.44405478
0.750000,0.44443455
0.751000,0.44486409
0.752000,0.44530609
0.753000,0.44571137
0.754000,0.44606271
0.755000,0.44644877
0.756000,0.44689581
0.757000,0.44737315
0.758000,0.44782960
0.759000,0.44824052
0.760000,0.44863114
0.761000,0.44906867
0.762000,0.44952139
0.763000,0.44994539
0.764000,0.45033973
0.765000,0.45073324
0.766000,0.45116699
0.767000,0.45164689
0.768000,0.45210049
0.769000,0.45246887
0.770000,0.45279273
0.771000,0.45319849
0.772000,0.45360047
0.773000,0.45394465
0.774000,0.45425507
0.775000,0.45460942
0.776000,0.45500538
0.777000,0.45539370
0.778000,0.45576841
0.779000,0.45608848
0.780000,0.45638850
0.781000,0.45675865
0.782000,0.45714280
0.783000,0.45746857
0.784000,0.45772088
0.785000,0.45802400
0.786000,0.45838141
0.787000,0.45872802
0.788000,0.45901936
0.789000,0.45929065
0.790000,0.45957357
0.791000,0.45985863
0.792000,0.46010810
0.793000,0.46031553
0.794000,0.46049601
0.795000,0.46078986
0.796000,0.46110904
0.797000,0.46135390
0.798000,0.46152240
0.799000,0.46167248
0.800000,0.46186236
0.801000,0.46208832
0.802000,0.46230939
0.803000,0.46248096
0.804000,0.46261996
0.805000,0.46282241
0.806000,0.46305045
0.807000,0.46323955
0.808000,0.46337333
0.809000,0.46349281
0.810000,0.46364862
0.811000,0.46384639
0.812000,0.46395445
0.813000,0.46401182
0.814000,0.46409914
0.815000,0.46420565
0.816000,0.46435395
0.817000,0.46448851
0.818000,0.46454877
0.819000,0.46461311
0.820000,0.46472245
0.821000,0.46485046
0.822000,0.46493858
0.823000,0.46498358
0.824000,0.46502551
0.825000,0.46508661
0.826000,0.46514222
0.827000,0.46518356
0.828000,0.46522078
0.829000,0.46528372
0.830000,0.46537441
0.831000,0.46547332
0.832000,0.46558672
0.833000,0.46568784
0.834000,0.46577644
0.835000,0.46587056
0.836000,0.46596196
0.837000,0.46601418
0.838000,0.46602264
0.839000,0.46607873
0.840000,0.46617931
0.841000,0.46627206
0.842000,0.46635216
0.843000,0.46637636
0.844000,0.46639296
0.845000,0.46644467
0.846000,0.46655357
0.847000,0.46666670
0.848000,0.46674874
0.849000,0.46680185
0.850000,0.46687272
0.851000,0.46696559
0.852000,0.46706641
0.853000,0.46710441
0.854000,0.46714196
0.855000,0.46724424
0.856000,0.46728581
0.857000,0.46727964
0.858000,0.46729970
0.859000,0.46740299
0.860000,0.46753904
0.861000,0.46765867
0.862000,0.46778184
0.863000,0.46785617
0.864000,0.46794915
0.865000,0.46809459
0.866000,0.46822158
0.867000,0.46828580
0.868000,0.46834823
0.869000,0.46847093
0.870000,0.46867961
0.871000,0.46889549
0.872000,0.46906814
0.873000,0.46923316
0.874000,0.46940506
0.875000,0.46957880
0.876000,0.46977219
0.877000,0.46991193
0.878000,0.47003886
0.879000,0.47023183
0.880000,0.47045639
0.881000,0.47065997
0.882000,0.47084016
0.883000,0.47101417
0.884000,0.47124490
0.885000,0.47150114
0.886000,0.47171795
0.887000,0.47186354
0.888000,0.47204041
0.889000,0.47231972
0.890000,0.47259951
0.891000,0.47283703
0.892000,0.47305518
0.893000,0.47327828
0.894000,0.47347796
0.895000,0.47368291
0.896000,0.47396854
0.897000,0.47418749
0.898000,0.47445062
0.899000,0.47485110
0.900000,0.47521424
0.901000,0.47547331
0.902000,0.47569719
0.903000,0.47593310
0.904000,0.47624317
0.905000,0.47655758
0.906000,0.47681323
0.907000,0.47703901
0.908000,0.47737920
0.909000,0.47782603
0.910000,0.47817847
0.911000,0.47844812
0.912000,0.47873160
0.913000,0.47904193
0.914000,0.47942245
0.915000,0.47979084
0.916000,0.48009947
0.917000,0.48039964
0.918000,0.48078170
0.919000,0.48120296
0.920000,0.48153645
0.921000,0.48179552
0.922000,0.48209572
0.923000,0.48250547
0.924000,0.48288363
0.925000,0.48322660
0.926000,0.48359296
0.927000,0.48389786
0.928000,0.48430389
0.929000,0.48477706
0.930000,0.48514324
0.931000,0.48548043
0.932000,0.48585498
0.933000,0.48626286
0.934000,0.48659393
0.935000,0.48685613
0.936000,0.48713619
0.937000,0.48747545
0.938000,0.48791218
0.939000,0.48833892
0.940000,0.48868543
0.941000,0.48893005
0.942000,0.48925421
0.943000,0.48971593
0.944000,0.49015141
0.945000,0.49052697
0.946000,0.49090829
0.947000,0.49135587
0.948000,0.49183950
0.949000,0.49225810
0.950000,0.49258685
0.951000,0.49282712
0.952000,0.49314272
0.953000,0.49355280
0.954000,0.49392766
0.955000,0.49422103
0.956000,0.49452353
0.957000,0.49491692
0.958000,0.49535677
0.959000,0.49574289
0.960000,0.49606004
0.961000,0.49630034
0.962000,0.49656636
0.963000,0.49690205
0.964000,0.49736282
0.965000,0.49763948
0.966000,0.49786985
0.967000,0.49831042
0.968000,0.49875504
0.969000,0.49908426
0.970000,0.49934429
0.971000,0.49955997
0.972000,0.49991331
0.973000,0.50033873
0.974000,0.50067186
0.975000,0.50095624
0.976000,0.50126725
0.977000,0.50161839
0.978000,0.50194234
0.979000,0.50219107
0.980000,0.50239301
0.981000,0.50244671
0.982000,0.50277382
0.983000,0.50322646
0.984000,0.50349826
0.985000,0.50356370
0.986000,0.50373882
0.987000,0.50413072
0.988000,0.50448316
0.989000,0.50467747
0.990000,0.50479418
0.991000,0.50481713
0.992000,0.50519031
0.993000,0.50566548
0.994000,0.50591773
0.995000,0.50600094
0.996000,0.50614345
0.997000,0.50641853
0.998000,0.50679064
0.999000,0.50689179
1.000000,0.50683534
1.001000,0.50687253
1.002000,0.50717509
1.003000,0.50757134
1.004000,0.50787258
1.005000,0.50795555
1.006000,0.50811863
1.007000,0.50841123
1.008000,0.50869989
1.009000,0.50862098
1.010000,0.50834286
1.011000,0.50867820
1.012000,0.50897211
1.013000,0.50868839
1.014000,0.50847960
1.015000,0.50817001
1.016000,0.50794578
1.017000,0.50836301
1.018000,0.50883657
1.019000,0.50890809
1.020000,0.50880492
1.021000,0.50873733
1.022000,0.50880820
1.023000,0.50916135
1.024000,0.50955498
1.025000,0.50985587
1.026000,0.50999659
1.027000,0.51025414
1.028000,0.51070410
1.029000,0.51048595
1.030000,0.50974464
1.031000,0.50930250
1.032000,0.50896192
1.033000,0.50874847
1.034000,0.50908017
1.035000,0.50956303
1.036000,0.50974321
1.037000,0.50981474
1.038000,0.51009041
1.039000,0.51033735
1.040000,0.51038814
1.041000,0.51040268
1.042000,0.51047415
1.043000,0.51062369
1.044000,0.51071304
1.045000,0.51085049
1.046000,0.51080590
1.047000,0.51060003
1.048000,0.51051837
1.049000,0.51056433
