# name=epidote  source=USGS_splib07a  instrument=BECK_Beckman  class=secondary_silicate
wavelength_um,reflectance
0.221100,0.03116095
0.229100,0.03132844
0.236100,0.03081151
0.242100,0.03082649
0.248100,0.02850526
0.253600,0.02903905
0.258600,0.03049623
0.263600,0.03024918
0.268600,0.03107946
0.273100,0.03162567
0.277100,0.03243479
0.281100,0.03201950
0.285100,0.03208798
0.289100,0.03198934
0.293100,0.03260839
0.297100,0.03269906
0.301100,0.03328355
0.305100,0.03325684
0.309100,0.03346975
0.313100,0.03357498
0.317100,0.03362005
0.321100,0.03498437
0.325100,0.03331306
0.329100,0.03413780
0.333100,0.03400891
0.337100,0.03388734
0.341100,0.03404463
0.345100,0.03433151
0.349100,0.03354141
0.353100,0.03373035
0.357100,0.03330211
0.360600,0.03353377
0.363600,0.03356180
0.366600,0.03315790
0.369600,0.03369903
0.372600,0.03347223
0.375600,0.03340672
0.378600,0.03407741
0.381100,0.03398005
0.383100,0.03455485
0.385100,0.03408612
0.387100,0.03407258
0.389100,0.03457699
0.391100,0.03417150
0.393100,0.03407327
0.395100,0.03398735
0.397100,0.03422514
0.399100,0.03381531
0.401100,0.03368105
0.403100,0.03388232
0.405100,0.03387708
0.407100,0.03337641
0.409100,0.03346934
0.411100,0.03384560
0.412800,0.03372038
0.415800,0.03541297
0.418800,0.03547138
0.421800,0.03646908
0.424800,0.03813250
0.427800,0.03900442
0.430800,0.04133305
0.433800,0.04296631
0.436800,0.04481142
0.439800,0.04662717
0.442800,0.04825345
0.445800,0.04943445
0.448800,0.04915712
0.451300,0.04786709
0.453300,0.04444941
0.455300,0.04240014
0.457300,0.04101980
0.459300,0.04268765
0.461300,0.04347054
0.463300,0.04529465
0.465300,0.04562980
0.467300,0.04411774
0.469300,0.04337832
0.471300,0.04391948
0.473300,0.04259922
0.475300,0.04263656
0.477300,0.04368158
0.479300,0.04446767
0.481300,0.04669491
0.483300,0.04858653
0.485300,0.05115438
0.487300,0.05400423
0.489300,0.05704815
0.491300,0.06075150
0.493300,0.06557123
0.495300,0.06844353
0.497300,0.07345079
0.499300,0.07721835
0.501300,0.08240641
0.503300,0.08648235
0.505300,0.09074835
0.507300,0.09466436
0.509300,0.09789792
0.511300,0.10178499
0.513300,0.10519468
0.515300,0.10893073
0.517300,0.11140656
0.519300,0.11436400
0.521300,0.11737530
0.523300,0.11957975
0.525300,0.12147309
0.527300,0.12298732
0.529300,0.12468444
0.531300,0.12580597
0.533300,0.12690809
0.535300,0.12838124
0.537300,0.12950419
0.539300,0.12881593
0.541300,0.13005586
0.543300,0.13023642
0.545300,0.13013649
0.547300,0.13039462
0.549300,0.12942874
0.551300,0.12892616
0.553300,0.12849532
0.555300,0.12747817
0.557300,0.12710012
0.559300,0.12666884
0.561300,0.12508079
0.563300,0.12469073
0.565300,0.12399285
0.567300,0.12414972
0.569300,0.12255237
0.571300,0.12160661
0.573300,0.12136193
0.575300,0.12038920
0.577300,0.11962942
0.579300,0.11892438
0.581300,0.11813760
0.583300,0.11747744
0.585300,0.11665225
0.587300,0.11601166
0.589300,0.11575782
0.591300,0.11535940
0.593300,0.11515100
0.595300,0.11421151
0.597300,0.11342328
0.599300,0.11386339
0.601100,0.11286920
0.602700,0.11390516
0.604300,0.11260460
0.605900,0.11337440
0.607500,0.11269058
0.609100,0.11339024
