# name=hcp_augite  source=USGS_splib07a  instrument=BECK_Beckman  class=high_ca_pyroxene
wavelength_um,reflectance
0.253600,0.02904350
0.258600,0.02162505
0.263600,0.02217891
0.268600,0.02495896
0.273100,0.02145252
0.277100,0.01546552
0.281100,0.02037157
0.285100,0.02550570
0.289100,0.02885708
0.293100,0.02862058
0.297100,0.02967766
0.301100,0.03196063
0.305100,0.03217635
0.309100,0.03727952
0.313100,0.03880200
0.317100,0.04184304
0.321100,0.04675472
0.325100,0.04896032
0.329100,0.05575524
0.333100,0.06017498
0.337100,0.06861687
0.341100,0.07284399
0.345100,0.07899664
0.349100,0.08545049
0.353100,0.09416360
0.357100,0.10096117
0.360600,0.10679004
0.363600,0.11256357
0.366600,0.11696268
0.369600,0.12019970
0.372600,0.12436926
0.375600,0.12758143
0.378600,0.13154221
0.381100,0.13428085
0.383100,0.13669091
0.385100,0.13866702
0.387100,0.14105685
0.389100,0.14430271
0.391100,0.14631569
0.393100,0.14937532
0.395100,0.15209836
0.397100,0.15399420
0.399100,0.15610746
0.401100,0.15896297
0.403100,0.16049773
0.405100,0.16304290
0.407100,0.16528474
0.409100,0.16739154
0.411100,0.17010477
0.412800,0.17108046
0.415800,0.17518306
0.418800,0.17685968
0.421800,0.18080473
0.424800,0.18251838
0.427800,0.18529819
0.430800,0.18679459
0.433800,0.18934301
0.436800,0.19056399
0.439800,0.19207057
0.442800,0.19325139
0.445800,0.19427505
0.448800,0.19580981
0.451300,0.19845591
0.453300,0.20031416
0.455300,0.20088033
0.457300,0.20212355
0.459300,0.20308073
0.461300,0.20512904
0.463300,0.20611951
0.465300,0.20754234
0.467300,0.20781544
0.469300,0.20938894
0.471300,0.21036083
0.473300,0.21150808
0.475300,0.21260904
0.477300,0.21337228
0.479300,0.21432360
0.481300,0.21526888
0.483300,0.21641017
0.485300,0.21771038
0.487300,0.21904293
0.489300,0.22060341
0.491300,0.22117387
0.493300,0.22182535
0.495300,0.22305670
0.497300,0.22504336
0.499300,0.22640318
0.501300,0.22624376
0.503300,0.22814095
0.505300,0.22880976
0.507300,0.23018906
0.509300,0.23092234
0.511300,0.23338418
0.513300,0.23386659
0.515300,0.23550273
0.517300,0.23677917
0.519300,0.23860873
0.521300,0.23916128
0.523300,0.24024652
0.525300,0.24120781
0.527300,0.24208224
0.529300,0.24325499
0.531300,0.24411955
0.533300,0.24553175
0.535300,0.24591164
0.537300,0.24660207
0.539300,0.24759714
0.541300,0.24794008
0.543300,0.24894105
0.545300,0.24931489
0.547300,0.25017118
0.549300,0.25114292
0.551300,0.25187236
0.553300,0.25270697
0.555300,0.25413436
0.557300,0.25465935
0.559300,0.25646329
0.561300,0.25712931
0.563300,0.25782841
0.565300,0.25807163
0.567300,0.26011613
0.569300,0.26124826
0.571300,0.26153928
0.573300,0.26153731
0.575300,0.26308164
0.577300,0.26306149
0.579300,0.26465467
0.581300,0.26466259
0.583300,0.26559401
0.585300,0.26637933
0.587300,0.26634917
0.589300,0.26714227
0.591300,0.26841894
0.593300,0.26803258
0.595300,0.26802915
0.597300,0.26902997
0.599300,0.26839423
0.601100,0.26940864
0.602700,0.27058414
0.604300,0.26990139
0.605900,0.27015290
0.607500,0.27012289
0.609100,0.27154738
0.610700,0.27147084
0.612300,0.27079800
0.613900,0.27157918
0.615500,0.27176353
0.617100,0.27269426
0.618700,0.27182287
0.620300,0.27275926
0.621900,0.27306929
0.623500,0.27296263
0.625100,0.27402630
0.626700,0.27446389
0.628300,0.27489614
0.629900,0.27449399
0.631700,0.27602345
0.633700,0.27549332
0.635700,0.27563888
0.637700,0.27571726
0.639700,0.27645275
0.641700,0.27617744
0.643700,0.27699757
0.645700,0.27694675
0.647700,0.27780858
0.649700,0.27802885
0.651700,0.27882171
0.653700,0.27861050
0.655700,0.27901176
0.657700,0.27957967
0.659700,0.28010848
0.661700,0.28087461
0.663700,0.28054279
0.665700,0.28093266
0.667700,0.28240538
0.670200,0.28202862
0.673200,0.28235909
0.676200,0.28265902
0.679200,0.28379256
0.682200,0.28492260
0.685200,0.28442389
0.688200,0.28503183
0.691200,0.28583384
0.694200,0.28656739
0.697200,0.28680620
0.700200,0.28765142
0.702000,0.28724533
0.704000,0.28871945
0.706000,0.28895569
0.708000,0.28931540
0.710000,0.28881937
0.712000,0.28959352
0.714000,0.28984264
0.716000,0.28966847
0.718000,0.29038799
0.720000,0.29003033
0.722000,0.29025036
0.724000,0.29127428
0.726000,0.29184541
0.728000,0.29170781
0.730000,0.29234040
0.732000,0.29267114
0.734000,0.29267415
0.736000,0.29323187
0.738000,0.29390028
0.740000,0.29366148
0.742000,0.29323626
0.744000,0.29418796
0.746000,0.29553708
0.748000,0.29488620
0.750500,0.29439202
0.753500,0.29544419
0.756500,0.29620287
0.759500,0.29715469
0.762500,0.29617703
0.765500,0.29774994
0.768500,0.29826576
0.771500,0.29924113
0.774500,0.30040735
0.777500,0.30043805
0.781000,0.30171216
0.785000,0.30251524
0.789000,0.30368832
0.793000,0.30469459
0.797000,0.30664930
0.801500,0.30675802
0.806500,0.30866516
0.811500,0.31040850
0.816500,0.31190112
0.822000,0.31297952
0.828000,0.31329709
0.835000,0.31500104
0.843000,0.31351572
0.851000,0.31406966
0.859000,0.31413043
0.871000,0.30618182
0.883000,0.29845271
0.894000,0.28797126
0.904000,0.28012401
0.914000,0.26699719
0.924000,0.25798762
0.933000,0.24860208
0.941000,0.24203207
0.949000,0.23068389
0.957000,0.22598557
0.964000,0.22334988
0.970000,0.21828926
0.976000,0.21776149
0.982000,0.21164355
0.988000,0.20880860
0.994000,0.20760016
1.000000,0.20789897
1.006000,0.20567679
1.012000,0.20622312
1.018000,0.20620874
1.023500,0.20886235
1.028500,0.21066749
1.033500,0.21231030
1.038500,0.21537907
1.043500,0.21608393
1.048500,0.21744651
1.053500,0.22220649
1.058500,0.22716236
1.063500,0.22927833
1.068500,0.23535194
1.073500,0.23710646
1.078500,0.24223681
1.083500,0.24612546
1.088500,0.25046414
1.093500,0.25374016
1.098500,0.25898436
1.103500,0.26347876
1.108500,0.27054009
1.113500,0.27421162
1.118500,0.27738494
1.123500,0.28421041
1.128500,0.28938279
1.133500,0.29304382
1.138500,0.29744667
1.143500,0.30395424
1.148500,0.30387172
1.153500,0.30899060
1.158500,0.31334722
1.163500,0.31749415
1.168500,0.32115039
1.173500,0.32617858
1.178500,0.32840332
1.183500,0.33219308
1.188500,0.33567521
1.193500,0.33711326
1.198500,0.34176418
1.203500,0.34418628
1.208500,0.34666711
1.213500,0.35039446
1.218500,0.35351077
1.223500,0.35657740
1.228500,0.35860449
1.233500,0.36054561
1.238500,0.36158514
1.243500,0.36543897
1.248500,0.36797681
1.253500,0.37016481
1.258500,0.37199724
1.263500,0.37540841
1.268500,0.37720495
1.273500,0.37874869
1.278500,0.38248238
1.283500,0.38470957
1.288500,0.38737583
1.293500,0.38878495
1.298500,0.39156133
1.303500,0.39451045
1.308500,0.39615574
1.313500,0.39958617
1.318500,0.40193650
1.323500,0.40240520
1.328500,0.40690914
1.333500,0.40826195
1.338500,0.40989906
1.343500,0.41267762
1.348500,0.41359392
