# name=hcp_diopside  source=USGS_splib07a  instrument=BECK_Beckman  class=high_ca_pyroxene
wavelength_um,reflectance
0.242100,0.03511812
0.248100,0.03560725
0.253600,0.03524319
0.258600,0.03424114
0.263600,0.03541115
0.268600,0.03514627
0.273100,0.03505577
0.277100,0.03517484
0.281100,0.03562734
0.285100,0.03627612
0.289100,0.03729587
0.293100,0.03890405
0.297100,0.04163294
0.301100,0.04572804
0.305100,0.05074867
0.309100,0.05966248
0.313100,0.07218593
0.317100,0.08918580
0.321100,0.11201602
0.325100,0.14207283
0.329100,0.17608796
0.333100,0.21307515
0.337100,0.24844325
0.341100,0.28074050
0.345100,0.30905589
0.349100,0.32994154
0.353100,0.34328407
0.357100,0.35750926
0.360600,0.36828035
0.363600,0.37586486
0.366600,0.38207152
0.369600,0.38696769
0.372600,0.39003056
0.375600,0.39184687
0.378600,0.39502168
0.381100,0.39826718
0.383100,0.40119287
0.385100,0.40475538
0.387100,0.40867385
0.389100,0.41233945
0.391100,0.41532326
0.393100,0.41896158
0.395100,0.42253098
0.397100,0.42555147
0.399100,0.42786741
0.401100,0.43082538
0.403100,0.43204585
0.405100,0.43497056
0.407100,0.43769810
0.409100,0.43888861
0.411100,0.44173679
0.412800,0.44448256
0.415800,0.44867942
0.418800,0.45204234
0.421800,0.45457345
0.424800,0.45665789
0.427800,0.45717251
0.430800,0.45928949
0.433800,0.46249968
0.436800,0.45946378
0.439800,0.46995699
0.442800,0.47330326
0.445800,0.47772381
0.448800,0.48138145
0.451300,0.48300657
0.453300,0.48630315
0.455300,0.48840529
0.457300,0.49047428
0.459300,0.49130356
0.461300,0.49296564
0.463300,0.49463874
0.465300,0.49771681
0.467300,0.49946555
0.469300,0.50115448
0.471300,0.50366312
0.473300,0.50586236
0.475300,0.50782090
0.477300,0.50983882
0.479300,0.51182413
0.481300,0.51393443
0.483300,0.51494151
0.485300,0.51850152
0.487300,0.52072984
0.489300,0.52142727
0.491300,0.52162021
0.493300,0.52475977
0.495300,0.52740419
0.497300,0.52979255
0.499300,0.53149194
0.501300,0.53444183
0.503300,0.53540087
0.505300,0.53570932
0.507300,0.53763932
0.509300,0.54058927
0.511300,0.54284650
0.513300,0.54363102
0.515300,0.54549998
0.517300,0.54680818
0.519300,0.54671234
0.521300,0.54855543
0.523300,0.55023098
0.525300,0.55161470
0.527300,0.55288178
0.529300,0.55358464
0.531300,0.55417490
0.533300,0.55574059
0.535300,0.55711925
0.537300,0.55777436
0.539300,0.55701238
0.541300,0.55728316
0.543300,0.55863565
0.545300,0.55936772
0.547300,0.55980057
0.549300,0.55941612
0.551300,0.56032741
0.553300,0.56154931
0.555300,0.56223738
0.557300,0.56211501
0.559300,0.56323326
0.561300,0.56422192
0.563300,0.56319898
0.565300,0.56412017
0.567300,0.56381667
0.569300,0.56391376
0.571300,0.56484759
0.573300,0.56425059
0.575300,0.56507432
0.577300,0.56532514
0.579300,0.56467557
0.581300,0.56628847
0.583300,0.56603509
0.585300,0.56607336
0.587300,0.56527150
0.589300,0.56556666
0.591300,0.56432790
0.593300,0.56463850
