# name=illite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.213100,0.06338437
0.221100,0.06619752
0.229100,0.06432335
0.236100,0.06404794
0.242100,0.06359933
0.248100,0.06193730
0.253600,0.06190271
0.258600,0.06198171
0.263600,0.06475279
0.268600,0.06657504
0.273100,0.06945591
0.277100,0.07205296
0.281100,0.07529031
0.285100,0.07523418
0.289100,0.07763469
0.293100,0.08103922
0.297100,0.08422731
0.301100,0.08727278
0.305100,0.09199668
0.309100,0.09192057
0.313100,0.09598295
0.317100,0.09684096
0.321100,0.09812321
0.325100,0.09669045
0.329100,0.09888406
0.333100,0.10216808
0.337100,0.10218433
0.341100,0.10523270
0.345100,0.10801659
0.349100,0.10877304
0.353100,0.11077952
0.357100,0.11244059
0.360600,0.11468852
0.363600,0.11554476
0.366600,0.11792614
0.369600,0.12061472
0.372600,0.12009010
0.375600,0.12148392
0.378600,0.12610190
0.381100,0.12606478
0.383100,0.12364879
0.385100,0.12866411
0.387100,0.12976176
0.389100,0.12852241
0.391100,0.13178232
0.393100,0.13051610
0.395100,0.13281727
0.397100,0.13397069
0.399100,0.13416131
0.401100,0.13468862
0.403100,0.13556914
0.405100,0.13675123
0.407100,0.13648865
0.409100,0.13682620
0.411100,0.13827576
0.412800,0.13822702
0.415800,0.13905469
0.418800,0.14005715
0.421800,0.14177863
0.424800,0.14324552
0.427800,0.14278841
0.430800,0.14535031
0.433800,0.14464082
0.436800,0.14594378
0.439800,0.14876863
0.442800,0.14752452
0.445800,0.14882706
0.448800,0.14689253
0.451300,0.14911678
0.453300,0.15070540
0.455300,0.15098836
0.457300,0.15062572
0.459300,0.15088789
0.461300,0.15317477
0.463300,0.15172297
0.465300,0.15294749
0.467300,0.15354085
0.469300,0.15374169
0.471300,0.15438689
0.473300,0.15395699
0.475300,0.15354721
0.477300,0.15400490
0.479300,0.15324415
0.481300,0.15600878
0.483300,0.15422978
0.485300,0.15395035
0.487300,0.15726082
0.489300,0.15649195
0.491300,0.15541296
0.493300,0.15862104
0.495300,0.15524822
0.497300,0.15742010
0.499300,0.15683538
0.501300,0.15832756
0.503300,0.15757370
0.505300,0.15733445
0.507300,0.15832661
0.509300,0.15837514
0.511300,0.15974955
0.513300,0.16049185
0.515300,0.16085337
0.517300,0.16061613
0.519300,0.16179579
0.521300,0.16234227
0.523300,0.16206245
0.525300,0.16009730
0.527300,0.16070215
0.529300,0.16297971
0.531300,0.16362379
0.533300,0.16194648
0.535300,0.16223606
0.537300,0.16304348
0.539300,0.16349712
0.541300,0.16274931
0.543300,0.16257842
0.545300,0.16450505
0.547300,0.16524163
0.549300,0.16430293
0.551300,0.16458710
0.553300,0.16558859
0.555300,0.16408092
0.557300,0.16548952
0.559300,0.16498818
0.561300,0.16585605
0.563300,0.16587447
0.565300,0.16539799
0.567300,0.16537203
0.569300,0.16558933
0.571300,0.16791672
