# name=iron_goethite  source=USGS_splib07a  instrument=ASD_FieldSpec  class=iron_oxide
wavelength_um,reflectance
0.350000,0.01905515
0.351000,0.01905632
0.352000,0.01886056
0.353000,0.01866566
0.354000,0.01847254
0.355000,0.01828450
0.356000,0.01811420
0.357000,0.01797668
0.358000,0.01787837
0.359000,0.01779130
0.360000,0.01767879
0.361000,0.01752163
0.362000,0.01737008
0.363000,0.01729179
0.364000,0.01732863
0.365000,0.01741934
0.366000,0.01747696
0.367000,0.01743983
0.368000,0.01734750
0.369000,0.01726479
0.370000,0.01724123
0.371000,0.01726553
0.372000,0.01731112
0.373000,0.01735667
0.374000,0.01740166
0.375000,0.01745085
0.376000,0.01750796
0.377000,0.01757283
0.378000,0.01764434
0.379000,0.01771873
0.380000,0.01778210
0.381000,0.01781797
0.382000,0.01781613
0.383000,0.01779150
0.384000,0.01776530
0.385000,0.01775492
0.386000,0.01776253
0.387000,0.01778654
0.388000,0.01782244
0.389000,0.01785411
0.390000,0.01786260
0.391000,0.01783400
0.392000,0.01777475
0.393000,0.01769638
0.394000,0.01761313
0.395000,0.01755040
0.396000,0.01753628
0.397000,0.01758437
0.398000,0.01765002
0.399000,0.01767410
0.400000,0.01761866
0.401000,0.01753057
0.402000,0.01747789
0.403000,0.01750844
0.404000,0.01758908
0.405000,0.01766640
0.406000,0.01770025
0.407000,0.01770324
0.408000,0.01770113
0.409000,0.01771381
0.410000,0.01773729
0.411000,0.01776165
0.412000,0.01778123
0.413000,0.01780730
0.414000,0.01785541
0.415000,0.01793464
0.416000,0.01802860
0.417000,0.01811439
0.418000,0.01817579
0.419000,0.01822289
0.420000,0.01827246
0.421000,0.01833770
0.422000,0.01841805
0.423000,0.01850939
0.424000,0.01860797
0.425000,0.01871127
0.426000,0.01881709
0.427000,0.01892567
0.428000,0.01904710
0.429000,0.01919388
0.430000,0.01937400
0.431000,0.01957726
0.432000,0.01978889
0.433000,0.01999725
0.434000,0.02020308
0.435000,0.02041018
0.436000,0.02062142
0.437000,0.02083579
0.438000,0.02105130
0.439000,0.02126591
0.440000,0.02147747
0.441000,0.02168378
0.442000,0.02188405
0.443000,0.02208303
0.444000,0.02228690
0.445000,0.02249946
0.446000,0.02271516
0.447000,0.02292614
0.448000,0.02312566
0.449000,0.02331159
0.450000,0.02348298
0.451000,0.02363928
0.452000,0.02378170
0.453000,0.02391178
0.454000,0.02403053
0.455000,0.02413645
0.456000,0.02422737
0.457000,0.02430269
0.458000,0.02436799
0.459000,0.02443036
0.460000,0.02449490
0.461000,0.02455861
0.462000,0.02461651
0.463000,0.02466545
0.464000,0.02470978
0.465000,0.02475567
0.466000,0.02480822
0.467000,0.02486809
0.468000,0.02493491
0.469000,0.02500703
0.470000,0.02507793
0.471000,0.02513988
0.472000,0.02518900
0.473000,0.02523692
0.474000,0.02529916
0.475000,0.02538657
0.476000,0.02549147
0.477000,0.02560156
0.478000,0.02570734
0.479000,0.02581045
0.480000,0.02591526
0.481000,0.02602619
0.482000,0.02614742
0.483000,0.02628313
0.484000,0.02643623
0.485000,0.02660482
0.486000,0.02678566
0.487000,0.02697575
0.488000,0.02717270
0.489000,0.02737441
0.490000,0.02758022
0.491000,0.02779592
0.492000,0.02802893
0.493000,0.02828401
0.494000,0.02855596
0.495000,0.02883686
0.496000,0.02912191
0.497000,0.02941829
0.498000,0.02973620
0.499000,0.03008214
0.500000,0.03044757
0.501000,0.03082037
0.502000,0.03119240
0.503000,0.03157224
0.504000,0.03197249
0.505000,0.03240230
0.506000,0.03285644
0.507000,0.03332621
0.508000,0.03380444
0.509000,0.03429047
0.510000,0.03478528
0.511000,0.03529074
0.512000,0.03581211
0.513000,0.03635543
0.514000,0.03692520
0.515000,0.03751942
0.516000,0.03813449
0.517000,0.03876756
0.518000,0.03941836
0.519000,0.04008742
0.520000,0.04077592
0.521000,0.04148756
0.522000,0.04222670
0.523000,0.04299619
0.524000,0.04379249
0.525000,0.04461060
0.526000,0.04544721
0.527000,0.04630596
0.528000,0.04719205
0.529000,0.04810948
0.530000,0.04905684
0.531000,0.05003135
0.532000,0.05103046
0.533000,0.05205256
0.534000,0.05309605
0.535000,0.05416047
0.536000,0.05524899
0.537000,0.05636577
0.538000,0.05751321
0.539000,0.05868778
0.540000,0.05988434
0.541000,0.06110074
0.542000,0.06234775
0.543000,0.06363934
0.544000,0.06498115
0.545000,0.06634685
0.546000,0.06770194
0.547000,0.06902134
0.548000,0.07031718
0.549000,0.07161123
0.550000,0.07292188
0.551000,0.07425456
0.552000,0.07561145
0.553000,0.07699335
0.554000,0.07839498
0.555000,0.07980985
0.556000,0.08123159
0.557000,0.08265485
0.558000,0.08407419
0.559000,0.08548535
0.560000,0.08688762
0.561000,0.08828116
0.562000,0.08966551
0.563000,0.09103771
0.564000,0.09239395
0.565000,0.09373087
0.566000,0.09504625
0.567000,0.09633817
0.568000,0.09760467
0.569000,0.09884451
0.570000,0.10005657
0.571000,0.10123973
0.572000,0.10239318
0.573000,0.10351615
0.574000,0.10460714
0.575000,0.10566233
0.576000,0.10667726
0.577000,0.10764752
0.578000,0.10856850
0.579000,0.10943582
0.580000,0.11024739
0.581000,0.11101052
0.582000,0.11173499
0.583000,0.11242840
0.584000,0.11308984
0.585000,0.11371632
0.586000,0.11430517
0.587000,0.11485472
0.588000,0.11536349
0.589000,0.11583099
0.590000,0.11626042
0.591000,0.11665585
0.592000,0.11702093
0.593000,0.11735751
0.594000,0.11766703
0.595000,0.11795106
0.596000,0.11821154
0.597000,0.11845060
0.598000,0.11866981
0.599000,0.11886851
0.600000,0.11904556
0.601000,0.11920006
0.602000,0.11933237
0.603000,0.11944316
0.604000,0.11953414
0.605000,0.11961138
0.606000,0.11968189
0.607000,0.11975088
0.608000,0.11981620
0.609000,0.11987376
0.610000,0.11992043
0.611000,0.11995645
0.612000,0.11998295
0.613000,0.12000129
0.614000,0.12001389
0.615000,0.12002338
0.616000,0.12003189
0.617000,0.12003965
0.618000,0.12004640
0.619000,0.12005166
0.620000,0.12005431
0.621000,0.12005302
0.622000,0.12004669
0.623000,0.12003517
0.624000,0.12001854
0.625000,0.11999728
0.626000,0.11997346
0.627000,0.11994946
0.628000,0.11992722
0.629000,0.11990532
0.630000,0.11988153
0.631000,0.11985526
0.632000,0.11983027
0.633000,0.11981151
0.634000,0.11980329
0.635000,0.11980501
0.636000,0.11981549
0.637000,0.11983304
0.638000,0.11985659
0.639000,0.11988447
0.640000,0.11991567
0.641000,0.11994895
0.642000,0.11998369
0.643000,0.12001948
0.644000,0.12005843
0.645000,0.12010369
0.646000,0.12015722
0.647000,0.12021909
0.648000,0.12028819
0.649000,0.12036426
0.650000,0.12044755
0.651000,0.12053858
0.652000,0.12063811
0.653000,0.12074555
0.654000,0.12086025
0.655000,0.12098208
0.656000,0.12111153
0.657000,0.12124953
0.658000,0.12139653
0.659000,0.12155234
0.660000,0.12171607
0.661000,0.12188760
0.662000,0.12206890
0.663000,0.12226251
0.664000,0.12247006
0.665000,0.12268972
0.666000,0.12291881
0.667000,0.12315518
0.668000,0.12339890
0.669000,0.12365059
0.670000,0.12391075
0.671000,0.12417933
0.672000,0.12445608
0.673000,0.12474069
0.674000,0.12503219
0.675000,0.12532948
0.676000,0.12563241
0.677000,0.12594412
0.678000,0.12626877
0.679000,0.12660916
0.680000,0.12696305
0.681000,0.12732683
0.682000,0.12769793
0.683000,0.12807757
0.684000,0.12846746
0.685000,0.12886919
0.686000,0.12928228
0.687000,0.12970562
0.688000,0.13013843
0.689000,0.13058119
0.690000,0.13103470
0.691000,0.13149950
0.692000,0.13197486
0.693000,0.13246021
0.694000,0.13295460
0.695000,0.13345683
0.696000,0.13396546
0.697000,0.13447928
0.698000,0.13499738
0.699000,0.13551922
0.700000,0.13604489
0.701000,0.13657966
0.702000,0.13712958
0.703000,0.13769844
0.704000,0.13828012
0.705000,0.13886628
0.706000,0.13945082
0.707000,0.14003722
0.708000,0.14063126
0.709000,0.14123744
