# name=iron_hematite  source=USGS_splib07a  instrument=BECK_Beckman  class=iron_oxide
wavelength_um,reflectance
0.229100,0.11034764
0.236100,0.10191295
0.242100,0.09669235
0.248100,0.09633283
0.253600,0.10018705
0.258600,0.09418211
0.263600,0.10204460
0.268600,0.09729259
0.273100,0.09407720
0.277100,0.09417418
0.281100,0.10538843
0.285100,0.09251653
0.289100,0.08922186
0.293100,0.08944147
0.297100,0.08830319
0.301100,0.08655769
0.305100,0.08549690
0.309100,0.08400428
0.313100,0.08673749
0.317100,0.08453924
0.321100,0.08608429
0.325100,0.08121336
0.329100,0.08048898
0.333100,0.07476579
0.337100,0.07773913
0.341100,0.07254825
0.345100,0.07586894
0.349100,0.07487580
0.353100,0.07480931
0.357100,0.07395794
0.360600,0.07573734
0.363600,0.07638795
0.366600,0.07732392
0.369600,0.07728396
0.372600,0.07914691
0.375600,0.07991011
0.378600,0.08114463
0.381100,0.08112801
0.383100,0.08063566
0.385100,0.08284359
0.387100,0.08520661
0.389100,0.08370625
0.391100,0.08343755
0.393100,0.08463561
0.395100,0.08519623
0.397100,0.08495139
0.399100,0.08585650
0.401100,0.08537424
0.403100,0.08785468
0.405100,0.08632630
0.407100,0.08694386
0.409100,0.08720812
0.411100,0.09278294
0.412800,0.08766493
0.415800,0.08761951
0.418800,0.08736984
0.421800,0.08818249
0.424800,0.08812150
0.427800,0.08795398
0.430800,0.08810087
0.433800,0.08769211
0.436800,0.08789602
0.439800,0.08861799
0.442800,0.08697262
0.445800,0.08630746
0.448800,0.08570350
0.451300,0.08548696
0.453300,0.08457305
0.455300,0.08500606
0.457300,0.08442952
0.459300,0.08358318
0.461300,0.08254964
0.463300,0.08529612
0.465300,0.08217179
0.467300,0.08264194
0.469300,0.08220647
0.471300,0.08190805
0.473300,0.08088572
0.475300,0.08170831
0.477300,0.08133449
0.479300,0.08154707
0.481300,0.08098146
0.483300,0.08086553
0.485300,0.08065472
0.487300,0.08061533
0.489300,0.07967225
0.491300,0.08007306
0.493300,0.08034468
0.495300,0.08248926
0.497300,0.07927404
0.499300,0.07980356
0.501300,0.07902069
0.503300,0.07956741
0.505300,0.07847454
0.507300,0.07964899
0.509300,0.07848607
0.511300,0.07936671
0.513300,0.07907432
0.515300,0.08099017
0.517300,0.07772088
0.519300,0.08118793
0.521300,0.07840180
0.523300,0.07905755
0.525300,0.07966075
0.527300,0.07934116
0.529300,0.07971131
0.531300,0.07980547
0.533300,0.07820919
0.535300,0.08007110
0.537300,0.08016400
0.539300,0.08014596
0.541300,0.07983410
0.543300,0.08126348
0.545300,0.08009821
0.547300,0.07991677
0.549300,0.08157490
0.551300,0.07989750
0.553300,0.07987896
0.555300,0.08155303
0.557300,0.08020478
0.559300,0.07974078
0.561300,0.07939675
0.563300,0.07964569
0.565300,0.07967139
0.567300,0.07962826
0.569300,0.07972274
0.571300,0.07962825
0.573300,0.08093364
0.575300,0.07973148
0.577300,0.07864901
0.579300,0.08292221
0.581300,0.07850376
0.583300,0.08222099
0.585300,0.08330786
0.587300,0.08130214
0.589300,0.08149841
0.591300,0.08194282
0.593300,0.08209783
0.595300,0.08267387
0.597300,0.08287931
0.599300,0.08326795
0.601100,0.08346960
0.602700,0.08348773
0.604300,0.08383101
0.605900,0.08449905
0.607500,0.08414209
0.609100,0.08356915
0.610700,0.08822391
0.612300,0.08460802
0.613900,0.08444193
0.615500,0.08845119
0.617100,0.08490243
0.618700,0.08412044
0.620300,0.08757169
0.621900,0.08481261
0.623500,0.08559062
0.625100,0.08629508
0.626700,0.08505727
0.628300,0.08722070
0.629900,0.08446840
0.631700,0.08494289
0.633700,0.08514953
0.635700,0.08510329
0.637700,0.08517007
0.639700,0.08719337
0.641700,0.08504843
0.643700,0.08674931
0.645700,0.08441250
0.647700,0.08756220
0.649700,0.08463469
0.651700,0.08780717
0.653700,0.08572840
0.655700,0.08809087
0.657700,0.08586848
0.659700,0.08570997
0.661700,0.08555818
0.663700,0.08571655
0.665700,0.08660483
0.667700,0.08599033
0.670200,0.08647156
0.673200,0.08669000
0.676200,0.08678295
0.679200,0.08736098
0.682200,0.08723621
0.685200,0.08807093
0.688200,0.08801363
0.691200,0.08754721
0.694200,0.08879355
0.697200,0.08957580
0.700200,0.08903286
0.702000,0.09214468
0.704000,0.09037148
0.706000,0.09056736
0.708000,0.09009276
0.710000,0.09139541
0.712000,0.09143421
0.714000,0.09055632
0.716000,0.09214063
0.718000,0.09195430
0.720000,0.09238664
0.722000,0.09224117
0.724000,0.09291839
0.726000,0.09306093
0.728000,0.09233743
0.730000,0.09257272
0.732000,0.09255241
0.734000,0.09206941
0.736000,0.09343471
0.738000,0.09198929
0.740000,0.09357870
0.742000,0.09389850
0.744000,0.09257738
0.746000,0.09378022
0.748000,0.09265916
0.750500,0.09384840
0.753500,0.09152999
0.756500,0.09313230
0.759500,0.09314187
0.762500,0.09264635
0.765500,0.09244242
0.768500,0.09110004
0.771500,0.09043623
0.774500,0.09196549
0.777500,0.09097925
0.781000,0.09087487
0.785000,0.09307431
0.789000,0.08914872
0.793000,0.08920878
0.797000,0.08832366
0.801500,0.09108851
0.806500,0.08694848
0.811500,0.08731288
0.816500,0.08688532
0.822000,0.08673419
0.828000,0.08527967
0.835000,0.08590621
0.843000,0.08501910
0.851000,0.08960103
0.859000,0.08856957
0.871000,0.08762718
0.883000,0.09047946
0.894000,0.08582804
0.904000,0.08773615
0.914000,0.08586558
0.924000,0.08556808
0.933000,0.08684690
0.941000,0.08795867
0.949000,0.09010564
0.957000,0.08862098
0.964000,0.09220227
0.970000,0.09171861
0.976000,0.08950760
0.982000,0.09077950
0.988000,0.09510983
0.994000,0.09422825
1.000000,0.09465362
1.006000,0.09702697
1.012000,0.09752660
1.018000,0.09857757
1.023500,0.10180170
1.028500,0.10477690
1.033500,0.10392525
1.038500,0.10244194
1.043500,0.10458400
1.048500,0.10602679
1.053500,0.10589214
1.058500,0.10755470
1.063500,0.10873410
1.068500,0.10932380
1.073500,0.10914029
1.078500,0.11030390
1.083500,0.10988151
1.088500,0.10996374
1.093500,0.11283901
1.098500,0.11307663
1.103500,0.11453017
1.108500,0.11411407
1.113500,0.11635114
1.118500,0.11601845
1.123500,0.11685617
1.128500,0.11900052
1.133500,0.11881635
1.138500,0.12030812
1.143500,0.12169082
1.148500,0.12282695
1.153500,0.12302306
1.158500,0.12383680
1.163500,0.12342855
