# name=kaolinite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.253600,0.19086276
0.258600,0.18915318
0.263600,0.18923007
0.268600,0.19921772
0.273100,0.20345497
0.277100,0.21632513
0.281100,0.23253186
0.285100,0.23858464
0.289100,0.25507000
0.293100,0.26419175
0.297100,0.27053118
0.301100,0.27505478
0.305100,0.28321132
0.309100,0.28634909
0.313100,0.29107341
0.317100,0.29271293
0.321100,0.29392052
0.325100,0.30713272
0.329100,0.30431759
0.333100,0.32182598
0.337100,0.33243066
0.341100,0.34367999
0.345100,0.35932302
0.349100,0.38055125
0.353100,0.40558732
0.357100,0.43053439
0.360600,0.45109299
0.363600,0.46937430
0.366600,0.49157652
0.369600,0.50514317
0.372600,0.52633953
0.375600,0.54428238
0.378600,0.55422580
0.381100,0.57028031
0.383100,0.57444137
0.385100,0.58004278
0.387100,0.58560342
0.389100,0.59423858
0.391100,0.60018843
0.393100,0.60692251
0.395100,0.60811007
0.397100,0.61734062
0.399100,0.62036979
0.401100,0.62371224
0.403100,0.62540758
0.405100,0.63461310
0.407100,0.63611323
0.411100,0.64169180
0.412800,0.64565146
0.415800,0.64915740
0.418800,0.65141380
0.421800,0.65550268
0.424800,0.66060144
0.427800,0.66310900
0.430800,0.66539633
0.433800,0.66767484
0.436800,0.67272174
0.439800,0.67870808
0.442800,0.67916197
0.445800,0.68692791
0.448800,0.69072902
0.451300,0.69589239
0.453300,0.69429582
0.455300,0.69513500
0.457300,0.69765759
0.459300,0.69885963
0.461300,0.69709939
0.463300,0.70096314
0.465300,0.70238513
0.467300,0.70689988
0.469300,0.70334381
0.471300,0.70333773
0.473300,0.70802027
0.475300,0.70801395
0.477300,0.70748919
0.479300,0.70947349
0.481300,0.70972860
0.483300,0.71333468
0.485300,0.71408278
0.487300,0.71442270
0.489300,0.71861559
0.491300,0.71569437
0.493300,0.71962291
0.495300,0.71823579
0.497300,0.72204810
0.499300,0.72020286
0.501300,0.72509313
0.503300,0.72413915
0.505300,0.72434521
0.507300,0.72994083
0.509300,0.73120677
0.511300,0.73031086
0.513300,0.73303330
0.515300,0.73244935
0.517300,0.73790294
0.519300,0.73942775
0.521300,0.73765427
0.523300,0.74403989
0.525300,0.74218357
0.527300,0.74193954
0.529300,0.74116313
0.531300,0.74499851
0.533300,0.74612290
0.535300,0.74902427
0.537300,0.75024796
0.539300,0.74801898
0.541300,0.74964273
0.543300,0.75228781
0.545300,0.75128269
0.547300,0.75195944
0.549300,0.75265211
0.551300,0.75772518
0.553300,0.75935113
0.555300,0.75616771
0.557300,0.75956142
0.559300,0.75643581
0.561300,0.75665897
0.563300,0.75641185
0.565300,0.76013237
0.567300,0.75742918
0.569300,0.75863087
0.571300,0.75983185
0.573300,0.76091117
0.575300,0.76244104
0.577300,0.76203847
0.579300,0.75944531
0.581300,0.76139462
0.583300,0.76649445
0.585300,0.76623780
0.587300,0.76525587
0.589300,0.76420462
0.591300,0.76789945
0.593300,0.76669341
0.595300,0.76406759
0.597300,0.76363605
0.599300,0.76791459
0.601100,0.76620036
0.602700,0.76538241
0.604300,0.76530242
0.605900,0.76531637
0.607500,0.76569355
0.609100,0.76425350
0.610700,0.76641542
0.612300,0.76680768
0.613900,0.76428729
0.615500,0.76501185
0.617100,0.76336628
0.618700,0.76588303
0.620300,0.76641798
0.621900,0.76573431
0.623500,0.76717454
0.625100,0.76716214
0.626700,0.76286846
0.628300,0.77030396
0.629900,0.76720911
0.631700,0.76709908
0.633700,0.76499408
0.635700,0.77028012
0.637700,0.77057779
0.639700,0.76887280
0.641700,0.76593983
0.643700,0.76893890
0.645700,0.76521122
0.647700,0.76946652
0.649700,0.76482427
0.651700,0.76712763
0.653700,0.76984924
0.655700,0.76855004
0.657700,0.76828265
0.659700,0.76836771
0.661700,0.76938957
0.663700,0.76836735
0.665700,0.77140307
0.667700,0.77173942
0.670200,0.76822001
0.673200,0.76934862
0.676200,0.76917875
0.679200,0.76735574
0.682200,0.77323228
0.685200,0.77078456
0.688200,0.76796597
0.691200,0.77157509
0.694200,0.76713949
0.697200,0.77212322
0.700200,0.76793206
0.702000,0.77180672
0.704000,0.77340686
0.706000,0.77478862
0.708000,0.77569830
0.710000,0.76966494
0.712000,0.77178705
0.714000,0.77126211
0.716000,0.77222234
0.718000,0.77443296
0.720000,0.77559686
0.722000,0.77326512
0.724000,0.77734840
0.726000,0.77942133
0.728000,0.77579683
0.730000,0.77661449
0.732000,0.77784556
0.734000,0.77478158
0.736000,0.78129810
0.738000,0.77675569
0.740000,0.78071350
0.742000,0.77891648
0.744000,0.77939731
0.746000,0.77870607
0.748000,0.77553838
0.750500,0.78233182
0.753500,0.78194648
0.756500,0.78604740
0.759500,0.78369164
0.762500,0.78426301
0.765500,0.78219819
0.768500,0.78567004
0.771500,0.78248215
0.774500,0.78505236
0.777500,0.78960347
0.781000,0.78666830
0.785000,0.78649837
0.789000,0.78673065
0.793000,0.78734422
0.797000,0.79233181
0.801500,0.79214835
0.806500,0.78953803
0.811500,0.79528993
0.816500,0.79077411
0.822000,0.79185665
0.828000,0.79338115
0.851000,0.79693753
0.859000,0.79319441
0.871000,0.78827238
0.883000,0.78674597
0.894000,0.79174393
0.904000,0.79100716
0.914000,0.78202564
0.924000,0.78465581
0.933000,0.77963662
0.941000,0.77986616
0.949000,0.77269775
0.957000,0.76542920
0.964000,0.76085746
0.970000,0.76841962
0.976000,0.78440082
0.982000,0.78091431
0.988000,0.78421450
0.994000,0.78424001
1.000000,0.78334618
1.006000,0.78469038
1.012000,0.78406793
1.018000,0.78550482
1.023500,0.78433740
1.028500,0.78687018
1.033500,0.78290004
1.038500,0.78282011
1.043500,0.78821719
1.048500,0.78614396
1.053500,0.78450501
1.058500,0.78506690
1.063500,0.78368449
1.068500,0.78494769
1.073500,0.78179246
1.078500,0.78693056
1.083500,0.78305089
1.088500,0.78405935
1.093500,0.78448844
1.098500,0.78478038
1.103500,0.78425688
1.108500,0.78220493
1.113500,0.78429437
1.118500,0.78285795
1.123500,0.78424078
1.128500,0.78295398
1.133500,0.78371125
1.138500,0.78495264
1.143500,0.78499621
1.148500,0.78587776
1.153500,0.78419971
1.158500,0.78386158
1.163500,0.78458339
1.168500,0.78304315
1.173500,0.78261405
1.178500,0.78367400
1.183500,0.78360349
1.188500,0.78512090
1.193500,0.78371096
1.198500,0.78164965
1.203500,0.78170407
1.208500,0.78104055
1.213500,0.77977520
1.218500,0.77986604
1.223500,0.77490515
1.228500,0.76879531
1.233500,0.76271003
1.238500,0.75938493
1.243500,0.75941807
1.248500,0.76854932
1.253500,0.77014422
1.258500,0.77018940
1.263500,0.77369303
1.268500,0.77183068
1.273500,0.77056319
1.278500,0.76818734
1.283500,0.76273036
1.288500,0.74671310
1.293500,0.73705089
1.298500,0.73254019
1.303500,0.72555935
1.308500,0.71824241
1.313500,0.71720761
1.318500,0.71238214
1.323500,0.70568454
1.328500,0.70251131
1.333500,0.69971424
1.338500,0.69816190
1.343500,0.69657046
1.348500,0.68047547
1.353500,0.64410055
1.358500,0.63251454
1.363500,0.63851064
1.368500,0.64707977
1.373500,0.63492692
1.378500,0.60925364
1.383500,0.57723850
1.388500,0.53034115
1.393500,0.46520549
1.398500,0.47063535
1.403500,0.48807260
1.408500,0.51367837
1.413500,0.44611001
1.418500,0.56328917
1.423500,0.66844386
1.428500,0.70016009
1.433500,0.72138357
1.438500,0.73374200
1.443500,0.74395120
1.448500,0.74491620
1.453500,0.75313151
1.458500,0.75779194
1.463500,0.75895739
1.468500,0.76601541
1.473500,0.77237475
1.478500,0.77086979
1.483500,0.77349019
1.488500,0.77643943
1.493500,0.77897632
1.498500,0.78246075
1.503500,0.78400767
1.508500,0.77919269
1.513500,0.78409684
1.518500,0.78464258
1.523500,0.78506470
1.528500,0.78936857
1.534000,0.78908688
1.540000,0.78755999
1.546000,0.78820807
1.552000,0.79013121
1.558000,0.78905642
1.564000,0.79062593
1.570500,0.79119062
1.577500,0.78964514
1.584500,0.79220229
1.591500,0.79603505
1.598500,0.79379404
1.605500,0.79172361
1.612500,0.79474443
1.619500,0.79546779
1.626500,0.79370368
1.633500,0.79439890
1.640500,0.79271138
1.647500,0.79092878
1.654500,0.79683965
1.661500,0.78701031
1.668500,0.79318613
1.676000,0.78602993
1.684000,0.78589183
1.692000,0.78467953
1.700000,0.78670287
1.708000,0.77910876
1.716000,0.77816516
1.724000,0.77564514
1.732000,0.77317834
1.740000,0.76740980
1.748000,0.76801580
1.756000,0.76334918
1.764000,0.75440669
1.772000,0.74780244
1.780000,0.73548502
1.788000,0.72949249
1.796000,0.72013241
1.805000,0.71243072
1.815000,0.70174634
1.825000,0.70687354
1.835000,0.71174949
1.845000,0.70620650
1.855000,0.72689092
1.865000,0.72640705
1.875000,0.70884413
1.885000,0.68625927
1.895000,0.66460550
1.905000,0.64257574
1.915000,0.62589240
1.925000,0.62939972
1.935000,0.62815046
1.945000,0.63007808
1.955000,0.63458592
1.965000,0.63931006
1.975000,0.64108014
1.985000,0.64553088
1.995000,0.64128822
2.005000,0.63716799
2.015000,0.63201857
2.025000,0.63296872
2.035000,0.62406141
2.045000,0.61659688
2.055000,0.61207515
2.065000,0.59830970
2.075000,0.57776910
2.085000,0.56431144
2.095000,0.55406600
2.105000,0.54498774
2.115000,0.51977104
2.125000,0.50675023
2.135000,0.48048174
2.145000,0.42199105
2.155000,0.35799891
2.165000,0.34163904
2.175000,0.35707298
2.185000,0.35854381
2.195000,0.33305472
2.205000,0.28785840
2.215000,0.34393331
2.225000,0.43094814
2.235000,0.43923166
2.245000,0.43712133
2.255000,0.43734461
2.265000,0.42464945
2.275000,0.40739763
2.285000,0.39429522
2.295000,0.37742490
2.305000,0.37364894
2.315000,0.35670269
2.325000,0.35428900
2.335000,0.36015686
2.345000,0.35296419
2.355000,0.33648503
2.365000,0.33666670
2.375000,0.32115740
2.386000,0.31494406
2.400000,0.32444456
2.418000,0.32629988
2.440000,0.29539394
2.466000,0.26760340
2.496000,0.24946912
2.528000,0.23389143
2.560000,0.22128777
2.592000,0.21289232
2.624000,0.19373618
2.656000,0.14839658
2.688000,0.05584171
2.720000,0.02738214
2.752000,0.03665567
2.784000,0.06845553
2.816000,0.08473546
2.848000,0.08267623
2.880000,0.10657900
2.912000,0.10926660
2.944000,0.12208899
2.976000,0.12872396
