# name=lcp_bronzite  source=USGS_splib07a  instrument=BECK_Beckman  class=low_ca_pyroxene
wavelength_um,reflectance
0.236100,0.04387402
0.242100,0.04210027
0.248100,0.04306996
0.253600,0.04772801
0.258600,0.04926679
0.263600,0.05148746
0.268600,0.05429018
0.273100,0.05676388
0.277100,0.05858612
0.281100,0.06094787
0.285100,0.06269254
0.289100,0.06410579
0.293100,0.06579012
0.297100,0.06712470
0.301100,0.06857134
0.305100,0.07242299
0.309100,0.07546415
0.313100,0.07851694
0.317100,0.08247250
0.321100,0.08748419
0.325100,0.09179369
0.329100,0.09821726
0.333100,0.10538474
0.337100,0.11132313
0.341100,0.11798546
0.345100,0.12563363
0.349100,0.13354047
0.353100,0.13963714
0.357100,0.14694507
0.360600,0.15391433
0.363600,0.15940206
0.366600,0.16249239
0.369600,0.16602242
0.372600,0.16871265
0.375600,0.17121233
0.378600,0.17513342
0.381100,0.17752941
0.383100,0.18032087
0.385100,0.18176790
0.387100,0.18445414
0.389100,0.18595418
0.391100,0.18795094
0.393100,0.18962620
0.395100,0.19076636
0.397100,0.19276746
0.399100,0.19503063
0.401100,0.19512896
0.403100,0.19614321
0.405100,0.19771893
0.407100,0.19936079
0.409100,0.20010039
0.411100,0.20199960
0.412800,0.20296529
0.415800,0.20430912
0.418800,0.20645149
0.421800,0.20754108
0.424800,0.20813130
0.427800,0.20961699
0.430800,0.21415035
0.433800,0.21950991
0.436800,0.22289884
0.439800,0.22636016
0.442800,0.22885914
0.445800,0.23006299
0.448800,0.23271158
0.451300,0.23672755
0.453300,0.23709889
0.455300,0.23852293
0.457300,0.24069782
0.459300,0.24090913
0.461300,0.24404086
0.463300,0.24490567
0.465300,0.24676575
0.467300,0.24643451
0.469300,0.24867475
0.471300,0.25041705
0.473300,0.25262320
0.475300,0.25254101
0.477300,0.25446278
0.479300,0.25530833
0.481300,0.25707597
0.483300,0.26020497
0.485300,0.26306885
0.487300,0.26583233
0.489300,0.26947725
0.491300,0.27086487
0.493300,0.27411854
0.495300,0.27753717
0.497300,0.28089646
0.499300,0.28479362
0.501300,0.28798226
0.503300,0.29186428
0.505300,0.28724471
0.507300,0.28761235
0.509300,0.30343723
0.511300,0.31047365
0.513300,0.31699720
0.515300,0.32215565
0.517300,0.32658297
0.519300,0.33274516
0.521300,0.33753058
0.523300,0.34232697
0.525300,0.34606004
0.527300,0.35043192
0.529300,0.35435370
0.531300,0.35919616
0.533300,0.36092910
0.535300,0.36488333
0.537300,0.36589080
0.539300,0.36788425
0.541300,0.36857834
0.543300,0.36784026
0.545300,0.36853960
0.547300,0.36906004
0.549300,0.37030286
0.551300,0.37160081
0.553300,0.37439668
0.555300,0.37668937
0.557300,0.37850824
0.559300,0.38105729
0.561300,0.38164857
0.563300,0.38283938
0.565300,0.38502973
0.567300,0.38580173
0.569300,0.38689169
0.571300,0.38823533
0.573300,0.38672635
0.575300,0.38829511
0.577300,0.38902369
0.579300,0.38829660
0.581300,0.39169040
0.583300,0.39173645
0.585300,0.39146009
0.587300,0.39231977
0.589300,0.39372891
0.591300,0.39389968
0.593300,0.39502031
0.595300,0.39595658
0.597300,0.39620557
0.599300,0.39758712
0.601100,0.39813918
0.602700,0.39876616
0.604300,0.40022531
0.605900,0.40017882
0.607500,0.40125763
0.609100,0.40146366
0.610700,0.40226829
0.612300,0.40264532
0.613900,0.40424854
0.615500,0.40405315
0.617100,0.40546092
0.618700,0.40673706
0.620300,0.40726364
0.621900,0.40803233
0.623500,0.40919897
0.625100,0.41112530
0.626700,0.41143712
0.628300,0.41221470
0.629900,0.41189879
0.631700,0.41286901
0.633700,0.41356850
0.635700,0.41593492
0.637700,0.41570786
0.639700,0.41625923
0.641700,0.41685012
0.643700,0.41803977
0.645700,0.41765177
0.647700,0.41871440
0.649700,0.42071003
0.651700,0.42100689
0.653700,0.42264488
0.655700,0.42223650
0.657700,0.42233393
0.659700,0.42330548
0.661700,0.42551073
0.663700,0.42547822
0.665700,0.42718554
0.667700,0.42850927
0.670200,0.42991412
0.673200,0.43165934
0.676200,0.43461415
0.679200,0.43686560
0.682200,0.44097614
0.685200,0.44405121
0.688200,0.44496119
0.691200,0.44463289
0.694200,0.44495293
0.697200,0.44536194
0.700200,0.44806632
0.702000,0.44959277
0.704000,0.45006973
0.706000,0.45125285
0.708000,0.45215532
0.710000,0.45513883
0.712000,0.45504013
0.714000,0.45585215
0.716000,0.45621133
0.718000,0.45701888
0.720000,0.45640209
0.722000,0.45658708
0.724000,0.45685071
0.726000,0.45658049
0.728000,0.45488235
0.730000,0.45346567
0.732000,0.45110574
0.734000,0.44825500
0.736000,0.44380060
0.738000,0.44325066
0.740000,0.44033012
0.742000,0.43770194
0.744000,0.43369201
0.746000,0.42950004
0.748000,0.42472661
0.750500,0.41845047
0.753500,0.41119879
0.756500,0.40211615
0.759500,0.39395982
0.762500,0.38581917
0.765500,0.37482855
0.768500,0.36578044
0.771500,0.35626122
0.774500,0.34548488
