# name=lcp_enstatite  source=USGS_splib07a  instrument=BECK_Beckman  class=low_ca_pyroxene
wavelength_um,reflectance
0.242100,0.05832999
0.248100,0.06643619
0.253600,0.06742995
0.258600,0.06763271
0.263600,0.07002728
0.268600,0.07590955
0.273100,0.08400127
0.277100,0.08998822
0.281100,0.09218652
0.285100,0.10340218
0.289100,0.10700116
0.293100,0.11367658
0.297100,0.12337527
0.301100,0.13327666
0.305100,0.14039965
0.309100,0.15257668
0.313100,0.15566257
0.317100,0.16678230
0.321100,0.17821281
0.325100,0.18551056
0.329100,0.19675742
0.333100,0.20535108
0.337100,0.21310577
0.341100,0.22250149
0.345100,0.23128825
0.349100,0.23982026
0.353100,0.25234944
0.357100,0.26163998
0.360600,0.27093950
0.363600,0.27840123
0.366600,0.28557372
0.369600,0.29353011
0.372600,0.30024970
0.375600,0.30711278
0.378600,0.31412825
0.381100,0.31830972
0.383100,0.32043651
0.385100,0.32435662
0.387100,0.32655555
0.389100,0.33104187
0.391100,0.33314607
0.393100,0.33606920
0.395100,0.33782768
0.397100,0.33908951
0.399100,0.34005722
0.401100,0.34308937
0.403100,0.34376758
0.405100,0.34510925
0.407100,0.34668165
0.409100,0.34746385
0.411100,0.34977958
0.412800,0.34927657
0.415800,0.35092229
0.418800,0.35178474
0.421800,0.35416144
0.424800,0.35526177
0.427800,0.35756421
0.430800,0.35945389
0.433800,0.36270583
0.436800,0.36415112
0.439800,0.36785835
0.442800,0.36972290
0.445800,0.37182692
0.448800,0.37475112
0.451300,0.37580997
0.453300,0.37799236
0.455300,0.37949997
0.457300,0.37976858
0.459300,0.38127822
0.461300,0.38214642
0.463300,0.38423556
0.465300,0.38527688
0.467300,0.38692048
0.469300,0.38949364
0.471300,0.39194006
0.473300,0.39385682
0.475300,0.39606372
0.477300,0.39875439
0.479300,0.40137610
0.481300,0.40380695
0.483300,0.40588641
0.485300,0.40951282
0.487300,0.41156325
0.489300,0.41259190
0.491300,0.41559422
0.493300,0.41845229
0.495300,0.42103803
0.497300,0.42439878
0.499300,0.42735437
0.501300,0.43101719
0.503300,0.43443635
0.505300,0.43572587
0.507300,0.43580440
0.509300,0.44290224
0.511300,0.44672257
0.513300,0.44903803
0.515300,0.45261759
0.517300,0.45432758
0.519300,0.45796779
0.521300,0.46059787
0.523300,0.46254957
0.525300,0.46433613
0.527300,0.46638387
0.529300,0.46894321
0.531300,0.46995795
0.533300,0.47115290
0.535300,0.47183678
0.537300,0.47369596
0.539300,0.47499010
0.541300,0.47597122
0.543300,0.47598439
0.545300,0.47627717
0.547300,0.47770795
0.549300,0.47827607
0.551300,0.47941890
0.553300,0.47841710
0.555300,0.48042560
0.557300,0.48008791
0.559300,0.48021477
0.561300,0.48046139
0.563300,0.48111743
0.565300,0.48078376
0.567300,0.48152143
0.569300,0.48108923
0.571300,0.48233652
0.573300,0.48306510
0.575300,0.48199520
0.577300,0.48306897
0.579300,0.48236591
0.581300,0.48280045
0.583300,0.48262957
0.585300,0.48277912
0.587300,0.48225090
0.589300,0.48207951
0.591300,0.48248371
0.593300,0.48259658
0.595300,0.48139483
0.597300,0.48147759
0.599300,0.48152608
0.601100,0.48177955
0.602700,0.48211756
0.604300,0.48163697
0.605900,0.48201412
0.607500,0.48156011
0.609100,0.48254588
0.610700,0.48106587
0.612300,0.48110417
0.613900,0.48111165
0.615500,0.48107100
0.617100,0.48185581
0.618700,0.48083135
0.620300,0.48199236
0.621900,0.48155123
0.623500,0.48140538
0.625100,0.48080564
0.626700,0.48202929
0.628300,0.48103681
0.629900,0.48149016
0.631700,0.48066169
0.633700,0.48201358
0.635700,0.48131663
0.637700,0.48190293
0.639700,0.48332837
0.641700,0.48186088
0.643700,0.48219657
0.645700,0.48286089
