# name=muscovite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.221100,0.05206996
0.229100,0.05561505
0.236100,0.05669238
0.242100,0.05576834
0.248100,0.05625627
0.253600,0.05616376
0.258600,0.05866400
0.263600,0.06006365
0.268600,0.06431117
0.273100,0.06894539
0.277100,0.07370830
0.281100,0.07977429
0.285100,0.08678802
0.289100,0.09585050
0.293100,0.10633752
0.297100,0.12109460
0.301100,0.13935614
0.305100,0.16070215
0.309100,0.18304364
0.313100,0.20889534
0.317100,0.23574871
0.321100,0.26265070
0.325100,0.29047149
0.329100,0.31545165
0.333100,0.33675051
0.337100,0.35502735
0.341100,0.37110865
0.345100,0.38523301
0.349100,0.39672655
0.353100,0.40603992
0.357100,0.41170999
0.360600,0.41547939
0.363600,0.41517439
0.366600,0.41552904
0.369600,0.41544285
0.372600,0.41386569
0.375600,0.41292509
0.378600,0.41191140
0.381100,0.40918574
0.383100,0.40698701
0.385100,0.40527746
0.387100,0.40257347
0.389100,0.39879698
0.391100,0.39602232
0.393100,0.39197832
0.395100,0.38872486
0.397100,0.38378230
0.399100,0.38048458
0.401100,0.37647212
0.403100,0.37412551
0.405100,0.37256563
0.407100,0.37096575
0.409100,0.36894211
0.411100,0.36764264
0.412800,0.36754987
0.415800,0.36395898
0.418800,0.36178568
0.421800,0.36019132
0.424800,0.35983810
0.427800,0.36311936
0.430800,0.36969388
0.433800,0.38012624
0.436800,0.39410096
0.439800,0.41142234
0.442800,0.43080202
0.445800,0.45256832
0.448800,0.47387514
0.451300,0.49347046
0.453300,0.50662917
0.455300,0.51950485
0.457300,0.52954793
0.459300,0.54223037
0.461300,0.54973441
0.463300,0.55798864
0.465300,0.56542104
0.467300,0.57058620
0.469300,0.57746154
0.471300,0.58220619
0.473300,0.58585966
0.475300,0.59128857
0.477300,0.59455889
0.479300,0.59682840
0.481300,0.60005504
0.483300,0.60334361
0.485300,0.60506576
0.487300,0.60791838
0.489300,0.61118120
0.491300,0.61161017
0.493300,0.61488569
0.495300,0.61601460
0.497300,0.61708826
0.499300,0.61877477
0.501300,0.62097114
0.503300,0.62106478
0.505300,0.62238246
0.507300,0.62460750
0.509300,0.62474161
0.511300,0.62650681
0.513300,0.62675744
0.515300,0.62909770
0.517300,0.62980986
0.519300,0.62967610
0.521300,0.63227308
0.523300,0.63325495
0.525300,0.63512230
0.527300,0.63436490
0.529300,0.63629031
0.531300,0.63707232
0.533300,0.63832653
0.535300,0.63890630
0.537300,0.64024508
0.539300,0.64068002
0.541300,0.64123297
0.543300,0.64304984
0.545300,0.64357316
0.547300,0.64523405
0.549300,0.64589447
0.551300,0.64645213
0.553300,0.64878434
0.555300,0.64871681
0.557300,0.64940012
0.559300,0.65005869
0.561300,0.65438259
0.563300,0.65373546
0.565300,0.65565383
0.567300,0.65721053
0.569300,0.65677142
0.571300,0.65808970
0.573300,0.65871412
0.575300,0.66031253
0.577300,0.66011196
0.579300,0.66173166
0.581300,0.66308618
0.583300,0.66365683
0.585300,0.66292959
0.587300,0.66502613
0.589300,0.66612190
0.591300,0.66922313
0.593300,0.66820282
0.595300,0.66832483
0.597300,0.66929734
0.599300,0.66999620
0.601100,0.67304415
0.602700,0.67222756
0.604300,0.67290246
0.605900,0.67367500
0.607500,0.67367178
0.609100,0.67680502
0.610700,0.67436641
0.612300,0.67560393
0.613900,0.67759055
0.615500,0.67789066
0.617100,0.67674941
0.618700,0.67876047
0.620300,0.67900860
0.621900,0.68063915
0.623500,0.67943770
0.625100,0.68033624
0.626700,0.68232346
0.628300,0.68250889
0.629900,0.68205196
0.631700,0.68306249
0.633700,0.68322259
0.635700,0.68491304
0.637700,0.68370068
0.639700,0.68584973
0.641700,0.68773770
0.643700,0.68727750
0.645700,0.68852603
0.647700,0.68838590
0.649700,0.68997514
0.651700,0.68931699
0.653700,0.68982601
0.655700,0.69133437
0.657700,0.69214207
0.659700,0.69364250
0.661700,0.69428033
0.663700,0.69491112
0.665700,0.69636363
0.667700,0.69711995
0.670200,0.69761729
0.673200,0.69807762
0.676200,0.70000482
0.679200,0.70068020
0.682200,0.70303369
0.685200,0.70294946
0.688200,0.70472002
0.691200,0.70782000
0.694200,0.70777595
0.697200,0.70811015
0.700200,0.70806211
0.702000,0.70660108
0.704000,0.70814270
0.706000,0.70935249
0.708000,0.70922852
0.710000,0.71162295
0.712000,0.71015263
0.714000,0.71288985
0.716000,0.71335936
0.718000,0.71271855
0.720000,0.71342623
0.722000,0.71365273
0.724000,0.71537936
0.726000,0.71494281
0.728000,0.71622044
0.730000,0.71693599
0.732000,0.71684998
0.734000,0.71790171
0.736000,0.71883643
0.738000,0.71874005
0.740000,0.72011113
0.742000,0.72052956
0.744000,0.71994603
0.746000,0.71986759
0.748000,0.72089791
0.750500,0.72042561
0.753500,0.72153491
0.756500,0.72322500
0.759500,0.72279030
0.762500,0.72345102
0.765500,0.72284138
0.768500,0.72367603
0.771500,0.72472566
0.774500,0.72373140
0.777500,0.72420895
0.781000,0.72419250
0.785000,0.72395450
0.789000,0.72372353
0.793000,0.72333020
0.797000,0.72397929
0.801500,0.72432137
0.806500,0.72335100
0.811500,0.72302198
0.816500,0.72343850
0.822000,0.72247714
0.828000,0.72048885
0.835000,0.72096300
0.843000,0.71993530
0.851000,0.71607172
0.859000,0.71393692
0.871000,0.71420217
0.883000,0.71435690
0.894000,0.71331680
0.904000,0.71428138
0.914000,0.71236199
0.924000,0.71320641
0.933000,0.71555495
0.941000,0.71620870
0.949000,0.71521550
0.957000,0.71353781
0.964000,0.71392572
0.970000,0.71776605
0.976000,0.71902877
0.982000,0.72132641
0.988000,0.72094917
0.994000,0.72367555
1.000000,0.72167283
1.006000,0.72214711
1.012000,0.72190255
1.018000,0.72339594
1.023500,0.72365165
1.028500,0.72385335
1.033500,0.72484213
1.038500,0.72599351
1.043500,0.72624677
1.048500,0.72549790
1.053500,0.72465622
1.058500,0.72598648
1.063500,0.72691679
1.068500,0.72483474
1.073500,0.72659284
1.078500,0.72717369
1.083500,0.72803533
1.088500,0.72728527
1.093500,0.72828966
1.098500,0.72926021
1.103500,0.73067623
1.108500,0.72958028
1.113500,0.72979605
1.118500,0.73145002
1.123500,0.73095375
1.128500,0.73224592
1.133500,0.73166329
1.138500,0.73256701
1.143500,0.73324227
1.148500,0.73139280
1.153500,0.73359150
1.158500,0.73525894
1.163500,0.73407084
1.168500,0.73359424
1.173500,0.73516321
1.178500,0.73304838
1.183500,0.73525268
1.188500,0.73809189
1.193500,0.73563951
1.198500,0.73838204
1.203500,0.73579627
1.208500,0.73718101
1.213500,0.73750478
1.218500,0.74041420
1.223500,0.73926443
1.228500,0.73989308
1.233500,0.73972768
1.238500,0.74025500
1.243500,0.74044621
1.248500,0.74158502
1.253500,0.74192375
1.258500,0.74130958
1.263500,0.74186110
1.268500,0.74232978
1.273500,0.74198794
1.278500,0.74403358
1.283500,0.74576312
1.288500,0.74255055
1.293500,0.74284208
1.298500,0.74225706
1.303500,0.74240834
1.308500,0.74123853
1.313500,0.74068755
1.318500,0.73877084
1.323500,0.74261153
1.328500,0.74095315
1.333500,0.74241710
1.338500,0.74113369
1.343500,0.74245000
1.348500,0.74361330
1.353500,0.74177098
1.358500,0.74246114
1.363500,0.73994809
1.368500,0.73973548
1.373500,0.73736149
1.378500,0.73574948
1.383500,0.73207968
1.388500,0.72130156
1.393500,0.69694245
1.398500,0.64409351
1.403500,0.60259587
1.408500,0.58150834
1.413500,0.57644176
1.418500,0.62262219
1.423500,0.66562366
1.428500,0.69551766
