# name=olivine_fo11  source=USGS_splib07a  instrument=BECK_Beckman  class=olivine
wavelength_um,reflectance
0.263600,0.07091643
0.268600,0.07133900
0.273100,0.07098754
0.277100,0.07164101
0.281100,0.07258551
0.285100,0.07116760
0.289100,0.07019868
0.293100,0.07159581
0.297100,0.07128411
0.301100,0.07168092
0.305100,0.07100097
0.309100,0.07062817
0.313100,0.07021870
0.317100,0.06913334
0.321100,0.06888122
0.325100,0.07023399
0.329100,0.07004468
0.333100,0.06878564
0.337100,0.06969494
0.341100,0.07065900
0.345100,0.07129934
0.349100,0.07862022
0.353100,0.07123869
0.357100,0.07095992
0.360600,0.07541074
0.363600,0.07677142
0.366600,0.07880942
0.369600,0.08111188
0.372600,0.08417258
0.375600,0.08602269
0.378600,0.08958771
0.381100,0.09159190
0.383100,0.09483356
0.385100,0.09721242
0.387100,0.10118560
0.389100,0.10356122
0.391100,0.10827458
0.393100,0.10902943
0.395100,0.11336417
0.397100,0.11633888
0.399100,0.11781668
0.401100,0.11927450
0.403100,0.12154645
0.405100,0.12282641
0.407100,0.12582918
0.409100,0.13142993
0.411100,0.13266920
0.412800,0.13664965
0.415800,0.14110674
0.418800,0.14610054
0.421800,0.14828274
0.424800,0.15141445
0.427800,0.15405972
0.430800,0.15601166
0.433800,0.15823238
0.436800,0.15924367
0.439800,0.16409951
0.442800,0.16632430
0.445800,0.16611578
0.448800,0.16556704
0.451300,0.16617295
0.453300,0.16568421
0.455300,0.16584909
0.457300,0.16647026
0.459300,0.16885425
0.461300,0.17016415
0.463300,0.17345166
0.465300,0.17568888
0.467300,0.17678390
0.469300,0.17796277
0.471300,0.18103410
0.473300,0.18151429
0.475300,0.18413731
0.477300,0.18802762
0.479300,0.19345535
0.481300,0.19609600
0.483300,0.19927256
0.485300,0.19965793
0.487300,0.20111671
0.489300,0.20176165
0.491300,0.20348683
0.493300,0.20313674
0.495300,0.20396039
0.497300,0.20423901
0.499300,0.20632336
0.501300,0.20904353
0.503300,0.21326651
0.505300,0.21585405
0.507300,0.22067994
0.509300,0.22428134
0.511300,0.22657974
0.513300,0.23168769
0.515300,0.23416209
0.517300,0.23617026
0.519300,0.23953362
0.521300,0.24079083
0.523300,0.24317800
0.525300,0.24294633
0.527300,0.24652272
0.529300,0.24655400
0.531300,0.24955374
0.533300,0.25188640
0.535300,0.25543332
0.537300,0.25812477
0.539300,0.25938109
0.541300,0.26182386
0.543300,0.26446828
0.545300,0.26669466
0.547300,0.27031732
0.549300,0.27160075
0.551300,0.27272904
0.553300,0.27570751
0.555300,0.27736208
0.557300,0.27855852
0.559300,0.28071392
0.561300,0.28238446
0.563300,0.28182587
0.565300,0.28404325
0.567300,0.28497344
0.569300,0.28506616
0.571300,0.28759035
0.573300,0.28867936
0.575300,0.28937742
0.577300,0.29099843
0.579300,0.29144496
0.581300,0.29106575
0.583300,0.29142287
0.585300,0.29284847
0.587300,0.29420787
0.589300,0.29250786
0.591300,0.29592845
0.593300,0.29627454
0.595300,0.29553670
0.597300,0.29521465
0.599300,0.29640400
0.601100,0.29808474
0.602700,0.29805315
0.604300,0.29821354
0.605900,0.29790986
0.607500,0.29762954
0.609100,0.29820681
0.610700,0.29805496
0.612300,0.29877642
0.613900,0.29960409
0.615500,0.30106878
0.617100,0.29868537
0.618700,0.29906967
0.620300,0.30129710
0.621900,0.30085680
0.623500,0.30292392
0.625100,0.30340663
0.626700,0.30329341
0.628300,0.30526224
0.629900,0.30614001
0.631700,0.30693117
0.633700,0.30688861
0.635700,0.30904227
0.637700,0.31088328
0.639700,0.31272721
0.641700,0.31341901
0.643700,0.31297559
0.645700,0.31713176
0.647700,0.31957600
