# name=plagioclase_albite  source=USGS_splib07a  instrument=BECK_Beckman  class=plagioclase
wavelength_um,reflectance
0.221100,0.30924502
0.229100,0.25682062
0.236100,0.21186104
0.242100,0.18174614
0.248100,0.17029582
0.253600,0.17247668
0.258600,0.17409220
0.263600,0.18182044
0.268600,0.19325998
0.273100,0.21176726
0.277100,0.23163046
0.281100,0.25674212
0.285100,0.28462905
0.289100,0.31451774
0.293100,0.34526819
0.297100,0.37553784
0.301100,0.39936903
0.305100,0.43134877
0.309100,0.44456214
0.313100,0.46920961
0.317100,0.48655328
0.321100,0.50112540
0.325100,0.51800287
0.329100,0.53144521
0.333100,0.54068798
0.337100,0.55541301
0.341100,0.56296289
0.345100,0.57226032
0.349100,0.57666725
0.353100,0.58229351
0.357100,0.58450407
0.360600,0.59407485
0.363600,0.59732270
0.366600,0.60593474
0.369600,0.60769689
0.372600,0.61435336
0.375600,0.62184262
0.378600,0.62529308
0.381100,0.63349754
0.383100,0.63904399
0.385100,0.64304066
0.387100,0.64827383
0.389100,0.65412676
0.391100,0.66140586
0.393100,0.66260970
0.395100,0.67016470
0.397100,0.67573291
0.399100,0.67826259
0.401100,0.68524659
0.403100,0.68737054
0.405100,0.68959850
0.407100,0.69638354
0.409100,0.69997549
0.411100,0.70214951
0.412800,0.70575523
0.415800,0.70651841
0.418800,0.71684134
0.421800,0.72200191
0.424800,0.72500831
0.427800,0.73009473
0.430800,0.73730749
0.433800,0.74011701
0.436800,0.74987781
0.439800,0.75934249
0.442800,0.75980252
0.445800,0.76478451
0.448800,0.76841629
0.451300,0.77068198
0.453300,0.77417994
0.455300,0.77836275
0.457300,0.78110558
0.459300,0.78324383
0.461300,0.78287482
0.463300,0.78140336
0.465300,0.78536195
0.467300,0.78620863
0.469300,0.79092824
0.471300,0.79234552
0.473300,0.79433012
0.475300,0.79184258
0.477300,0.79172033
0.479300,0.79894805
0.481300,0.79516888
0.483300,0.80385429
0.485300,0.79877400
0.487300,0.80148542
0.489300,0.80681503
0.491300,0.80422455
0.493300,0.80477291
0.495300,0.80667347
0.497300,0.81214756
0.499300,0.81105977
0.501300,0.81668591
0.503300,0.81198323
0.505300,0.81774145
0.507300,0.81615949
0.509300,0.81906414
0.511300,0.82374948
0.513300,0.82878321
0.515300,0.82671040
0.517300,0.82919079
0.519300,0.82989019
0.521300,0.82758558
0.523300,0.83261281
0.525300,0.83732522
0.527300,0.83452320
0.529300,0.83511966
0.531300,0.84079242
0.533300,0.83948177
0.535300,0.84024554
0.537300,0.84465921
0.539300,0.84381819
0.541300,0.84833348
0.543300,0.84795177
0.545300,0.84937745
0.547300,0.84285873
0.549300,0.85260755
0.551300,0.85360301
0.553300,0.84948242
0.555300,0.85476369
0.557300,0.85021788
0.559300,0.85840267
0.561300,0.86212420
0.563300,0.85565323
0.565300,0.85854256
0.567300,0.85648465
0.569300,0.85808474
0.571300,0.85685033
0.573300,0.86064571
0.575300,0.86190635
0.577300,0.86309719
0.579300,0.86214906
0.581300,0.85890609
0.583300,0.86356860
0.585300,0.85913062
0.587300,0.85899448
0.589300,0.86748821
0.591300,0.86783791
0.593300,0.86910588
0.595300,0.86191505
0.597300,0.86942911
0.599300,0.87080753
0.601100,0.86978191
0.602700,0.87353420
0.604300,0.86918300
0.605900,0.87087500
0.607500,0.86981797
0.609100,0.87191719
0.610700,0.87649345
0.612300,0.87340719
0.613900,0.87045556
0.615500,0.87812614
0.617100,0.87333339
0.618700,0.87458718
0.620300,0.87563205
0.621900,0.87385798
0.623500,0.87746257
0.625100,0.87808138
0.626700,0.87661058
0.628300,0.87588233
0.629900,0.87321532
0.631700,0.87527156
0.633700,0.87411904
0.635700,0.87954658
0.637700,0.87673038
0.639700,0.87767762
0.641700,0.87816185
