# name=plagioclase_anorthite  source=USGS_splib07a  instrument=BECK_Beckman  class=plagioclase
wavelength_um,reflectance
0.242100,0.29476193
0.248100,0.30606669
0.253600,0.32086486
0.258600,0.33681211
0.263600,0.35702470
0.268600,0.37120029
0.273100,0.39000407
0.277100,0.40745044
0.281100,0.42251980
0.285100,0.43975002
0.289100,0.45771292
0.293100,0.47438782
0.297100,0.49146438
0.301100,0.50863028
0.305100,0.52336353
0.309100,0.53984350
0.313100,0.55479383
0.317100,0.56715053
0.321100,0.57988924
0.325100,0.59354305
0.329100,0.60407543
0.333100,0.61316949
0.337100,0.62237883
0.341100,0.63098246
0.345100,0.63959759
0.349100,0.64423764
0.353100,0.64880317
0.357100,0.65308094
0.360600,0.65677994
0.363600,0.66097099
0.366600,0.66368562
0.369600,0.66919625
0.372600,0.67107725
0.375600,0.67245537
0.378600,0.67552054
0.381100,0.67809528
0.383100,0.67849702
0.385100,0.68105316
0.387100,0.68021655
0.389100,0.68149811
0.391100,0.68411446
0.393100,0.68481737
0.395100,0.68467200
0.397100,0.68731970
0.399100,0.68791914
0.401100,0.68922949
0.403100,0.69059014
0.405100,0.69002330
0.407100,0.69166052
0.409100,0.69154733
0.411100,0.69378841
0.412800,0.69562703
0.415800,0.69487745
0.418800,0.69715834
0.421800,0.69829911
0.424800,0.69922239
0.427800,0.70096672
0.430800,0.70144886
0.433800,0.70457274
0.436800,0.70500588
0.439800,0.70542955
0.442800,0.70722306
0.445800,0.70768726
0.448800,0.70884675
0.451300,0.70929462
0.453300,0.71086210
0.455300,0.71165913
0.457300,0.71139652
0.459300,0.71473300
0.461300,0.71481019
0.463300,0.71534282
0.465300,0.71572429
0.467300,0.71551675
0.469300,0.71740711
0.471300,0.71575093
0.473300,0.71845430
0.475300,0.71948612
0.477300,0.71954542
0.479300,0.71983987
0.481300,0.71860033
0.483300,0.72248387
0.485300,0.72222561
0.487300,0.72224730
0.489300,0.72141087
0.491300,0.72286093
0.493300,0.72318298
0.495300,0.72572148
0.497300,0.72562969
0.499300,0.72424901
0.501300,0.72552031
0.503300,0.72585946
0.505300,0.72453022
0.507300,0.72707695
0.509300,0.72689593
0.511300,0.72895128
0.513300,0.72873491
0.515300,0.72999769
0.517300,0.72795820
0.519300,0.72914565
0.521300,0.72902244
0.523300,0.72948086
0.525300,0.72996771
0.527300,0.73135448
0.529300,0.73252708
0.531300,0.73117834
0.533300,0.73148370
0.535300,0.73333555
0.537300,0.73314750
0.539300,0.73317915
0.541300,0.73458534
0.543300,0.73379946
0.545300,0.73434407
0.547300,0.73439270
0.549300,0.73311371
0.551300,0.73522168
0.553300,0.73521018
0.555300,0.73537284
0.557300,0.73452866
0.559300,0.73538983
0.561300,0.73600900
0.563300,0.73553133
0.565300,0.73675543
0.567300,0.73424244
0.569300,0.73675454
0.571300,0.73673892
0.573300,0.73723251
0.575300,0.73775566
0.577300,0.73878890
0.579300,0.73844409
0.581300,0.74170280
0.583300,0.74017543
0.585300,0.74153805
0.587300,0.74224430
0.589300,0.74278498
0.591300,0.74088079
0.593300,0.74297154
0.595300,0.74221283
0.597300,0.74309313
0.599300,0.74239379
0.601100,0.74327254
0.602700,0.74400270
0.604300,0.74398655
0.605900,0.74233818
0.607500,0.74175078
0.609100,0.74244249
0.610700,0.74382120
0.612300,0.74524987
0.613900,0.74494857
0.615500,0.74468392
0.617100,0.74555272
0.618700,0.74555451
0.620300,0.74294621
0.621900,0.74555784
0.623500,0.74615157
0.625100,0.74577338
0.626700,0.74696898
0.628300,0.74827498
0.629900,0.74740076
0.631700,0.74809909
0.633700,0.74707788
0.635700,0.74694765
0.637700,0.75035805
0.639700,0.74898130
0.641700,0.74799192
0.643700,0.74864113
0.645700,0.75049520
0.647700,0.75047439
0.649700,0.75242388
0.651700,0.74897188
0.653700,0.75170940
0.655700,0.75155461
0.657700,0.75275111
0.659700,0.75274593
0.661700,0.75204474
0.663700,0.75398111
0.665700,0.75446129
0.667700,0.75383097
0.670200,0.75314087
0.673200,0.75494587
0.676200,0.75468487
0.679200,0.75590426
0.682200,0.75770283
0.685200,0.75748545
0.688200,0.75713217
0.691200,0.75885963
0.694200,0.75923514
0.697200,0.75768811
0.700200,0.76175535
0.702000,0.76081592
0.704000,0.76348388
0.706000,0.76050609
0.708000,0.76297104
0.710000,0.76264685
0.712000,0.76335126
0.714000,0.76390141
0.716000,0.76411128
0.718000,0.76355165
0.720000,0.76409990
0.722000,0.76432371
0.724000,0.76483327
0.726000,0.76467878
0.728000,0.76631236
0.730000,0.76611453
0.732000,0.76672196
0.734000,0.76847810
0.736000,0.76761693
0.738000,0.76685375
0.740000,0.76741630
0.742000,0.76637566
0.744000,0.76609522
0.746000,0.76591712
0.748000,0.76862901
0.750500,0.76985270
0.753500,0.77098876
0.756500,0.77012110
0.759500,0.77120054
0.762500,0.77030194
0.765500,0.77056271
0.768500,0.77054822
0.771500,0.77218097
0.774500,0.77118313
0.777500,0.77246302
0.781000,0.77215064
0.785000,0.77105516
0.789000,0.77218789
0.793000,0.77588511
0.797000,0.77428323
0.801500,0.77455789
0.806500,0.77533275
0.811500,0.77557075
0.816500,0.77786988
0.822000,0.77577025
0.828000,0.77593309
0.835000,0.77362746
0.843000,0.77493453
0.851000,0.78280908
0.859000,0.78167683
0.871000,0.78200233
0.883000,0.77933443
0.894000,0.78746831
0.904000,0.78855008
0.914000,0.78386050
0.924000,0.78610969
0.933000,0.78888363
0.941000,0.78635299
0.949000,0.78776771
0.957000,0.78800541
0.964000,0.78876567
0.970000,0.79264212
0.976000,0.79013932
0.982000,0.79238039
0.988000,0.79296684
0.994000,0.79209739
1.000000,0.79188269
1.006000,0.79577601
1.012000,0.79469776
1.018000,0.79247206
1.023500,0.79706448
1.028500,0.79480571
1.033500,0.79617345
1.038500,0.79447818
1.043500,0.79602045
1.048500,0.79975027
1.053500,0.79576147
1.058500,0.79791939
1.063500,0.79779589
1.068500,0.79640877
1.073500,0.79716903
1.078500,0.80007064
1.083500,0.79845130
1.088500,0.79751718
1.093500,0.80062169
1.098500,0.79931116
1.103500,0.79915226
1.108500,0.79803663
1.113500,0.79881936
1.118500,0.79890251
1.123500,0.79907650
1.128500,0.80051368
1.133500,0.79877573
1.138500,0.80175442
1.143500,0.80093908
1.148500,0.80018818
1.153500,0.80089515
1.158500,0.80222529
1.163500,0.80435926
1.168500,0.79929686
1.173500,0.80014014
1.178500,0.80171329
1.183500,0.80089200
1.188500,0.80600590
1.193500,0.80508780
1.198500,0.80409318
1.203500,0.80482829
1.208500,0.80245906
1.213500,0.80487591
1.218500,0.80556226
1.223500,0.80399096
1.228500,0.80316865
1.233500,0.80550665
1.238500,0.80462331
1.243500,0.80605972
1.248500,0.80303788
1.253500,0.80589354
1.258500,0.80433929
1.263500,0.80583757
1.268500,0.80409604
1.273500,0.80541772
1.278500,0.80558908
1.283500,0.80607235
1.288500,0.80597389
1.293500,0.80573469
1.298500,0.80578613
1.303500,0.80721229
1.308500,0.80837554
1.313500,0.80684841
1.318500,0.80582547
1.323500,0.80733180
1.328500,0.80643260
1.333500,0.80788893
1.338500,0.80619830
1.343500,0.80674022
1.348500,0.80611014
1.353500,0.80657035
1.358500,0.80824089
1.363500,0.80729067
1.368500,0.80662775
1.373500,0.80866510
1.378500,0.80805367
1.383500,0.80877006
1.388500,0.80800951
1.393500,0.80477673
1.398500,0.80649692
1.403500,0.80813158
1.408500,0.80969959
1.413500,0.80957949
1.418500,0.80885768
1.423500,0.80660450
1.428500,0.80835551
1.433500,0.80754435
1.438500,0.80922967
1.443500,0.80854917
1.448500,0.81166452
1.453500,0.80932188
1.458500,0.81165218
1.463500,0.81158054
1.468500,0.80930817
1.473500,0.80922186
1.478500,0.81154299
1.483500,0.81221724
1.488500,0.81045347
1.493500,0.81054723
1.498500,0.81220233
1.503500,0.81115472
1.508500,0.81035954
1.513500,0.81038654
1.518500,0.81488657
1.523500,0.81736124
1.528500,0.81266606
1.534000,0.81416714
1.540000,0.81414938
1.546000,0.81247890
1.552000,0.81471586
1.558000,0.81561744
1.564000,0.81637579
1.570500,0.81703341
1.577500,0.81637812
1.584500,0.81376982
1.591500,0.81459284
1.598500,0.81464821
1.605500,0.81449968
1.612500,0.81576121
1.619500,0.81495941
1.626500,0.81717515
1.633500,0.81605166
1.640500,0.81601304
1.647500,0.81756008
1.654500,0.81727761
1.661500,0.81871009
1.668500,0.81856227
1.676000,0.81606346
1.684000,0.81918985
1.692000,0.81759560
1.700000,0.82231486
1.708000,0.82142919
1.716000,0.81786436
1.724000,0.81710035
1.732000,0.82118601
1.740000,0.82183558
1.748000,0.82351518
1.756000,0.82432848
1.764000,0.82434595
1.772000,0.81731629
1.780000,0.82198387
1.788000,0.82110083
1.796000,0.82010102
1.805000,0.82120788
1.815000,0.81970578
1.825000,0.82060599
1.835000,0.81976348
1.845000,0.81899637
1.855000,0.82161683
1.865000,0.81880677
1.875000,0.82032734
1.885000,0.81688851
1.895000,0.81616139
1.905000,0.81292719
1.915000,0.81400084
1.925000,0.81381112
1.935000,0.81690687
1.945000,0.81120926
1.955000,0.81344205
1.965000,0.81585050
1.975000,0.81951779
1.985000,0.81836838
1.995000,0.82117832
2.005000,0.82014567
2.015000,0.82155311
2.025000,0.82095057
2.035000,0.82127422
2.045000,0.82224518
2.055000,0.82643330
2.065000,0.81782979
2.075000,0.82328689
2.085000,0.82701498
2.095000,0.82706958
2.105000,0.82620740
2.115000,0.83318931
2.125000,0.83417219
2.135000,0.83318502
2.145000,0.83216542
2.155000,0.83102757
2.165000,0.81920075
2.175000,0.82402551
2.185000,0.82128090
2.195000,0.82298255
2.205000,0.81891757
2.215000,0.82473344
2.225000,0.82457334
2.235000,0.82399929
2.245000,0.82442063
2.255000,0.82558888
2.265000,0.82375354
2.275000,0.82752228
2.285000,0.82928652
2.295000,0.83040756
2.305000,0.82091540
2.315000,0.82801396
2.325000,0.83389109
2.335000,0.82745475
2.345000,0.82868522
2.355000,0.82721645
2.365000,0.82939363
2.375000,0.83234048
2.386000,0.82535255
2.400000,0.82487881
2.418000,0.82386702
2.440000,0.81906313
2.466000,0.82049686
2.496000,0.81884700
2.528000,0.81774241
2.560000,0.81357342
2.592000,0.81147450
2.624000,0.81607246
2.656000,0.81407082
2.688000,0.78603840
2.720000,0.70000577
2.752000,0.64908701
2.784000,0.58590263
2.816000,0.56341869
2.848000,0.54076266
2.880000,0.53602672
2.912000,0.54258519
2.944000,0.54211342
2.976000,0.56472439
