# name=prehnite  source=USGS_splib07a  instrument=BECK_Beckman  class=secondary_silicate
wavelength_um,reflectance
0.205100,0.33749831
0.213100,0.34082547
0.221100,0.34259629
0.229100,0.34466878
0.236100,0.34720808
0.242100,0.35013822
0.248100,0.35289493
0.253600,0.35551280
0.258600,0.35785058
0.263600,0.35955858
0.268600,0.36198360
0.273100,0.36473045
0.277100,0.36777315
0.281100,0.37042305
0.285100,0.37312326
0.289100,0.37588614
0.293100,0.37774366
0.297100,0.38017082
0.301100,0.38297254
0.305100,0.38597873
0.309100,0.38903150
0.313100,0.39201152
0.317100,0.39486724
0.321100,0.39762679
0.325100,0.40041620
0.329100,0.40326560
0.333100,0.40634218
0.337100,0.40896234
0.341100,0.41142374
0.345100,0.41465005
0.349100,0.41770434
0.353100,0.42069009
0.357100,0.42368916
0.360600,0.42674294
0.363600,0.42983514
0.366600,0.43298423
0.369600,0.43543747
0.372600,0.43844283
0.375600,0.44167531
0.378600,0.44400322
0.381100,0.44674936
0.383100,0.44946221
0.385100,0.45175627
0.387100,0.45456329
0.389100,0.45711944
0.391100,0.45923346
0.393100,0.46164116
0.395100,0.46380880
0.397100,0.46582687
0.399100,0.46818405
0.401100,0.47044256
0.403100,0.47253147
0.405100,0.47434989
0.407100,0.47625652
0.409100,0.47808281
0.411100,0.47978142
0.412800,0.48120090
0.415800,0.48273855
0.418800,0.48436651
0.421800,0.48593527
0.424800,0.48751643
0.427800,0.48902053
0.430800,0.49033108
0.433800,0.49172196
0.436800,0.49299711
0.439800,0.49408966
0.442800,0.49528706
0.445800,0.49644172
0.448800,0.49754214
0.451300,0.49856240
0.453300,0.49954516
0.455300,0.50050896
0.457300,0.50151664
0.459300,0.50240302
0.461300,0.50329548
0.463300,0.50426519
0.465300,0.50515324
0.467300,0.50610685
0.469300,0.50711733
0.471300,0.50800979
0.473300,0.50899738
0.475300,0.51001865
0.477300,0.51101238
0.479300,0.51209998
0.481300,0.51322478
0.483300,0.51439172
0.485300,0.51540291
0.487300,0.51642555
0.489300,0.51747882
0.491300,0.51854593
0.493300,0.51962614
0.495300,0.52070957
0.497300,0.52179468
0.499300,0.52280432
0.501300,0.52377576
0.503300,0.52472740
0.505300,0.52559900
0.507300,0.52650315
0.509300,0.52745271
0.511300,0.52831638
0.513300,0.52920020
0.515300,0.53006822
0.517300,0.53080690
0.519300,0.53154629
0.521300,0.53229612
0.523300,0.53307313
0.525300,0.53374422
0.527300,0.53440690
0.529300,0.53507739
0.531300,0.53576362
0.533300,0.53638726
0.535300,0.53696847
0.537300,0.53757536
0.539300,0.53814346
0.541300,0.53870404
0.543300,0.53928381
0.545300,0.53981006
0.547300,0.54029244
0.549300,0.54073137
0.551300,0.54123271
0.553300,0.54171556
0.555300,0.54217601
0.557300,0.54258782
0.559300,0.54301339
0.561300,0.54343754
0.563300,0.54384464
0.565300,0.54421002
0.567300,0.54459161
0.569300,0.54500782
0.571300,0.54536724
0.573300,0.54570091
0.575300,0.54601783
0.577300,0.54635060
0.579300,0.54671699
0.581300,0.54708767
0.583300,0.54743636
0.585300,0.54771489
0.587300,0.54800147
0.589300,0.54832298
0.591300,0.54856199
0.593300,0.54886281
0.595300,0.54920918
0.597300,0.54946411
0.599300,0.54974979
0.601100,0.55003440
0.602700,0.55027086
0.604300,0.55057114
0.605900,0.55083829
0.607500,0.55103147
0.609100,0.55129582
0.610700,0.55155176
0.612300,0.55179560
0.613900,0.55202395
0.615500,0.55225891
0.617100,0.55249155
0.618700,0.55271029
0.620300,0.55294031
0.621900,0.55315918
0.623500,0.55335522
0.625100,0.55356634
0.626700,0.55377418
0.628300,0.55397630
0.629900,0.55415154
0.631700,0.55433029
0.633700,0.55451792
0.635700,0.55473107
0.637700,0.55493033
0.639700,0.55511904
0.641700,0.55529755
0.643700,0.55545092
0.645700,0.55562890
0.647700,0.55583251
0.649700,0.55599511
0.651700,0.55615854
0.653700,0.55632281
0.655700,0.55649328
0.657700,0.55666566
0.659700,0.55682242
0.661700,0.55694687
0.663700,0.55711544
0.665700,0.55727327
0.667700,0.55741513
0.670200,0.55759764
0.673200,0.55776173
0.676200,0.55790454
0.679200,0.55800593
0.682200,0.55815321
0.685200,0.55830497
0.688200,0.55843383
0.691200,0.55856043
0.694200,0.55868012
0.697200,0.55879217
0.700200,0.55894023
0.702000,0.55906063
0.704000,0.55917037
0.706000,0.55932945
0.708000,0.55943733
0.710000,0.55954021
0.712000,0.55967820
0.714000,0.55978405
0.716000,0.55988467
0.718000,0.55998582
0.720000,0.56008196
0.722000,0.56017429
0.724000,0.56026524
0.726000,0.56036735
0.728000,0.56048381
0.730000,0.56059605
0.732000,0.56068128
0.734000,0.56079745
0.736000,0.56089854
0.738000,0.56097025
0.740000,0.56104189
0.742000,0.56112289
0.744000,0.56121278
0.746000,0.56131315
0.748000,0.56140363
0.750500,0.56149292
0.753500,0.56159347
0.756500,0.56168586
0.759500,0.56177253
0.762500,0.56185287
0.765500,0.56193399
0.768500,0.56202537
0.771500,0.56212348
0.774500,0.56219661
0.777500,0.56229055
0.781000,0.56239051
0.785000,0.56247580
0.789000,0.56254947
0.793000,0.56262153
0.797000,0.56269598
0.801500,0.56276870
0.806500,0.56284082
0.811500,0.56291354
0.816500,0.56299931
0.822000,0.56308883
0.828000,0.56317776
0.835000,0.56325608
0.843000,0.56336260
0.851000,0.56346262
