# name=serpentine  source=USGS_splib07a  instrument=ASD_FieldSpec  class=phyllosilicate
wavelength_um,reflectance
0.350000,0.22467336
0.351000,0.22244169
0.352000,0.22066754
0.353000,0.22082847
0.354000,0.21651658
0.355000,0.21917991
0.356000,0.22545798
0.357000,0.22345637
0.358000,0.21990910
0.359000,0.22006914
0.360000,0.22328511
0.361000,0.22321561
0.362000,0.22356498
0.363000,0.22639126
0.364000,0.22617708
0.365000,0.22872306
0.366000,0.23174374
0.367000,0.22978684
0.368000,0.22993936
0.369000,0.23328283
0.370000,0.23686428
0.371000,0.23485717
0.372000,0.23485976
0.373000,0.23856814
0.374000,0.23962383
0.375000,0.24048403
0.376000,0.24139549
0.377000,0.24141310
0.378000,0.24236973
0.379000,0.24323243
0.380000,0.24319653
0.381000,0.24204199
0.382000,0.24233909
0.383000,0.24362572
0.384000,0.24373937
0.385000,0.24427040
0.386000,0.24573992
0.387000,0.24758647
0.388000,0.24936171
0.389000,0.25063995
0.390000,0.25184548
0.391000,0.25331128
0.392000,0.25583369
0.393000,0.25836399
0.394000,0.26002026
0.395000,0.26115543
0.396000,0.26246881
0.397000,0.26399341
0.398000,0.26502240
0.399000,0.26548257
0.400000,0.26579168
0.401000,0.26622736
0.402000,0.26648861
0.403000,0.26633614
0.404000,0.26589352
0.405000,0.26538870
0.406000,0.26506451
0.407000,0.26477116
0.408000,0.26415035
0.409000,0.26344886
0.410000,0.26294187
0.411000,0.26262251
0.412000,0.26225942
0.413000,0.26170865
0.414000,0.26111695
0.415000,0.26056653
0.416000,0.26053390
0.417000,0.26066491
0.418000,0.26029173
0.419000,0.26003844
0.420000,0.25991306
0.421000,0.25963181
0.422000,0.25963008
0.423000,0.25949824
0.424000,0.25905246
0.425000,0.25844291
0.426000,0.25798649
0.427000,0.25756562
0.428000,0.25684005
0.429000,0.25645921
0.430000,0.25615761
0.431000,0.25562876
0.432000,0.25538632
0.433000,0.25510010
0.434000,0.25469592
0.435000,0.25442868
0.436000,0.25427887
0.437000,0.25418100
0.438000,0.25408459
0.439000,0.25429970
0.440000,0.25464630
0.441000,0.25495207
0.442000,0.25531051
0.443000,0.25589493
0.444000,0.25656107
0.445000,0.25710657
0.446000,0.25762042
0.447000,0.25813082
0.448000,0.25862277
0.449000,0.25913581
0.450000,0.25955656
0.451000,0.25990438
0.452000,0.26033238
0.453000,0.26068050
0.454000,0.26094541
0.455000,0.26122364
0.456000,0.26145372
0.457000,0.26181817
0.458000,0.26235685
0.459000,0.26300475
0.460000,0.26362532
0.461000,0.26430663
0.462000,0.26519591
0.463000,0.26630238
0.464000,0.26751599
0.465000,0.26876536
0.466000,0.27021989
0.467000,0.27184495
0.468000,0.27353790
0.469000,0.27538082
0.470000,0.27713835
0.471000,0.27873990
0.472000,0.28023937
0.473000,0.28193289
0.474000,0.28353649
0.475000,0.28483671
0.476000,0.28597641
0.477000,0.28703249
0.478000,0.28802899
0.479000,0.28896910
0.480000,0.28966326
0.481000,0.29021025
0.482000,0.29074794
0.483000,0.29136842
0.484000,0.29177871
0.485000,0.29197660
0.486000,0.29234543
0.487000,0.29260677
0.488000,0.29274246
0.489000,0.29291996
0.490000,0.29310164
0.491000,0.29330257
0.492000,0.29352200
0.493000,0.29385930
0.494000,0.29407647
0.495000,0.29418230
0.496000,0.29438463
0.497000,0.29460534
0.498000,0.29479641
0.499000,0.29496381
0.500000,0.29518503
0.501000,0.29537392
0.502000,0.29550117
0.503000,0.29563901
0.504000,0.29583362
0.505000,0.29606277
0.506000,0.29629785
0.507000,0.29649270
0.508000,0.29668227
0.509000,0.29690078
0.510000,0.29715109
0.511000,0.29737481
0.512000,0.29756206
0.513000,0.29775444
0.514000,0.29794008
0.515000,0.29812902
0.516000,0.29833212
0.517000,0.29852316
0.518000,0.29870951
0.519000,0.29889956
0.520000,0.29911122
0.521000,0.29926866
0.522000,0.29938281
0.523000,0.29951292
0.524000,0.29963827
0.525000,0.29979506
0.526000,0.29998943
0.527000,0.30009341
0.528000,0.30020419
0.529000,0.30037433
0.530000,0.30055302
0.531000,0.30070528
0.532000,0.30082548
0.533000,0.30093530
0.534000,0.30103093
0.535000,0.30115861
0.536000,0.30130571
