# name=silica_opal  source=USGS_splib07a  instrument=BECK_Beckman  class=opal
wavelength_um,reflectance
0.221100,0.12369890
0.229100,0.09729698
0.236100,0.08185574
0.242100,0.07201086
0.248100,0.06480778
0.253600,0.05950972
0.258600,0.05513733
0.263600,0.05436721
0.268600,0.05178542
0.273100,0.05184518
0.277100,0.05027621
0.281100,0.05002078
0.285100,0.05135590
0.289100,0.05005562
0.293100,0.05121166
0.297100,0.05205482
0.301100,0.05625990
0.305100,0.05885656
0.309100,0.06281339
0.313100,0.06679615
0.317100,0.07398649
0.321100,0.08033258
0.325100,0.08416116
0.329100,0.09054980
0.333100,0.09670164
0.337100,0.10151534
0.341100,0.10819544
0.345100,0.11446448
0.349100,0.12168290
0.353100,0.13025579
0.357100,0.13744499
0.360600,0.14254488
0.363600,0.14561415
0.366600,0.14836639
0.369600,0.15195364
0.372600,0.15546027
0.375600,0.16157408
0.378600,0.16732389
0.381100,0.17125759
0.383100,0.17585836
0.385100,0.18056595
0.387100,0.18624844
0.389100,0.18927613
0.391100,0.19487087
0.393100,0.19978464
0.395100,0.20313106
0.397100,0.20625588
0.399100,0.20966259
0.401100,0.21379730
0.403100,0.21596761
0.405100,0.21881445
0.407100,0.22092153
0.409100,0.22351977
0.411100,0.22537330
0.412800,0.22743100
0.415800,0.22938195
0.418800,0.23312157
0.421800,0.23563193
0.424800,0.23810352
0.427800,0.23927845
0.430800,0.24299383
0.433800,0.24433182
0.436800,0.24651703
0.439800,0.24859922
0.442800,0.25277936
0.445800,0.25614953
0.448800,0.26294360
0.451300,0.26719800
0.453300,0.27315208
0.455300,0.27473947
0.457300,0.27768195
0.459300,0.27946702
0.461300,0.28165820
0.463300,0.28191710
0.465300,0.28397554
0.467300,0.28638229
0.469300,0.28612477
0.471300,0.28689289
0.473300,0.28818202
0.475300,0.28972486
0.477300,0.28879434
0.479300,0.29060930
0.481300,0.29189989
0.483300,0.29313460
0.485300,0.29455981
0.487300,0.29500809
0.489300,0.29694748
0.491300,0.29920888
0.493300,0.30080685
0.495300,0.30333874
0.497300,0.30506992
0.499300,0.30688289
0.501300,0.30788311
0.503300,0.31109843
0.505300,0.31358516
0.507300,0.31585625
0.509300,0.31811824
0.511300,0.32028681
0.513300,0.32254556
0.515300,0.32259175
0.517300,0.32552198
0.519300,0.32714757
0.521300,0.32822770
0.523300,0.33057168
0.525300,0.33327562
0.527300,0.33336383
0.529300,0.33552623
0.531300,0.33646998
0.533300,0.33764073
0.535300,0.34039038
0.537300,0.34114784
0.539300,0.34353721
0.541300,0.34366292
0.543300,0.34509411
0.545300,0.34594220
0.547300,0.34701318
0.549300,0.34776613
0.551300,0.34828225
0.553300,0.35039005
0.555300,0.35316300
0.557300,0.35446075
0.559300,0.35620096
0.561300,0.35734093
0.563300,0.35968456
0.565300,0.36135381
0.567300,0.36409125
0.569300,0.36574745
0.571300,0.36874831
0.573300,0.37135023
0.575300,0.37160334
0.577300,0.37393561
0.579300,0.37459666
0.581300,0.37701800
0.583300,0.37916487
0.585300,0.37908247
0.587300,0.38187295
0.589300,0.38425693
0.591300,0.38380030
0.593300,0.38527560
0.595300,0.38623032
0.597300,0.38718358
0.599300,0.38866872
0.601100,0.38854083
0.602700,0.38970742
0.604300,0.38895842
0.605900,0.39041591
0.607500,0.39050287
0.609100,0.39284569
0.610700,0.39260539
0.612300,0.39416480
0.613900,0.39274353
0.615500,0.39432725
0.617100,0.39575124
0.618700,0.39832938
0.620300,0.39580593
0.621900,0.39784604
0.623500,0.40034303
0.625100,0.39787260
0.626700,0.39905310
0.628300,0.40219340
0.629900,0.39945516
0.631700,0.40079892
0.633700,0.40130979
0.635700,0.40232950
0.637700,0.40397000
0.639700,0.40418366
0.641700,0.40370053
0.643700,0.40577564
0.645700,0.40459025
0.647700,0.40542120
0.649700,0.40593377
0.651700,0.40727761
0.653700,0.40647087
0.655700,0.40677014
0.657700,0.40805939
0.659700,0.40857318
0.661700,0.40905565
0.663700,0.41021043
0.665700,0.40859690
0.667700,0.40988591
0.670200,0.41047052
0.673200,0.41110501
0.676200,0.41129529
0.679200,0.41156450
0.682200,0.41371724
0.685200,0.41276309
0.688200,0.41270730
0.691200,0.41351536
0.694200,0.41368362
0.697200,0.41339174
0.700200,0.41341576
0.702000,0.41360626
0.704000,0.41257596
0.706000,0.41429019
0.708000,0.41377434
0.710000,0.41293392
0.712000,0.41466025
0.714000,0.41274354
0.716000,0.41287807
0.718000,0.41339335
0.720000,0.41269791
0.722000,0.41227132
0.724000,0.41223848
0.726000,0.41100433
0.728000,0.41024384
0.730000,0.41056842
0.732000,0.40997481
0.734000,0.40949208
0.736000,0.40860572
0.738000,0.40889865
0.740000,0.40911999
0.742000,0.40750504
0.744000,0.40602466
0.746000,0.40782940
0.748000,0.40640977
0.750500,0.40600568
0.753500,0.40457389
0.756500,0.40454882
0.759500,0.40336603
0.762500,0.40358081
0.765500,0.40288177
0.768500,0.40153435
0.771500,0.40096703
0.774500,0.39988950
0.777500,0.39805824
0.781000,0.39773455
0.785000,0.39636040
0.789000,0.39412349
0.793000,0.39309889
0.797000,0.39180440
0.801500,0.38975367
0.806500,0.38866907
0.811500,0.38593292
0.816500,0.38433406
0.822000,0.38147530
0.828000,0.37905979
0.835000,0.37507132
0.843000,0.37368217
0.859000,0.37135577
0.871000,0.36469111
0.883000,0.36025804
0.894000,0.35823378
0.904000,0.35529226
0.914000,0.34898946
0.924000,0.34728175
0.933000,0.34123826
0.941000,0.33422363
0.949000,0.32466519
0.957000,0.31592226
0.964000,0.31364557
0.970000,0.31510767
0.976000,0.31749716
0.982000,0.31894130
0.988000,0.32266539
0.994000,0.32218149
1.000000,0.32447535
1.006000,0.32532918
1.012000,0.32524189
1.018000,0.32556710
1.023500,0.32704312
1.028500,0.32945874
1.033500,0.32932708
1.038500,0.33062175
1.043500,0.32950428
1.048500,0.33053046
1.053500,0.33106446
1.058500,0.32963544
1.063500,0.33034700
1.068500,0.33034581
1.073500,0.32896462
1.078500,0.32856184
1.083500,0.32704812
1.088500,0.32701063
1.093500,0.32754543
1.098500,0.32443631
1.103500,0.32342142
1.108500,0.32102725
1.113500,0.32149047
1.118500,0.31829345
1.123500,0.31509888
1.128500,0.31044346
1.133500,0.30223134
1.138500,0.29392588
1.143500,0.28350589
1.148500,0.27286276
1.153500,0.26651636
1.158500,0.26775080
1.163500,0.27247375
1.168500,0.27493167
1.173500,0.27613175
1.178500,0.27605394
1.183500,0.27836242
1.188500,0.27859801
1.193500,0.27766123
1.198500,0.27694476
1.203500,0.27813265
1.208500,0.27716973
1.213500,0.27861851
1.218500,0.27854174
1.223500,0.27777123
1.228500,0.27423906
1.233500,0.27324659
1.238500,0.27219868
1.243500,0.27159595
1.248500,0.27258012
1.253500,0.27028063
1.258500,0.27037382
1.263500,0.27043834
1.268500,0.26879933
1.273500,0.26871389
1.278500,0.26780316
1.283500,0.26371917
1.288500,0.26239777
1.293500,0.25806120
1.298500,0.25545084
1.303500,0.25144830
1.308500,0.24850917
1.313500,0.24190646
1.318500,0.23612924
1.323500,0.22765848
1.328500,0.21902356
1.333500,0.20744728
1.338500,0.20134948
1.343500,0.19185770
1.348500,0.18515573
1.353500,0.17992236
1.358500,0.17341568
1.363500,0.16130143
1.368500,0.14183156
1.373500,0.12586360
1.378500,0.11224649
1.383500,0.09887341
1.388500,0.08855779
1.393500,0.07801869
