# name=smectite_montmorillonite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.221100,0.07207832
0.229100,0.07536323
0.236100,0.05864554
0.242100,0.06587679
0.248100,0.05281830
0.253600,0.05076355
0.258600,0.06012829
0.263600,0.05339955
0.268600,0.05628842
0.273100,0.06225928
0.277100,0.06637545
0.281100,0.07360137
0.285100,0.08408017
0.289100,0.09832763
0.293100,0.11733996
0.297100,0.13633323
0.301100,0.15910511
0.305100,0.18529776
0.309100,0.20909758
0.313100,0.23713860
0.317100,0.24903360
0.321100,0.27091739
0.325100,0.27772444
0.329100,0.28597367
0.333100,0.29611492
0.337100,0.30827886
0.341100,0.30749843
0.345100,0.31408998
0.349100,0.31831765
0.353100,0.32542774
0.357100,0.32966539
0.360600,0.33468500
0.363600,0.34062600
0.366600,0.34860888
0.369600,0.35880625
0.372600,0.36946598
0.375600,0.38129997
0.378600,0.39391428
0.381100,0.40709117
0.383100,0.41397125
0.385100,0.42571810
0.387100,0.43103611
0.389100,0.43816799
0.391100,0.44394428
0.393100,0.45086974
0.395100,0.45424831
0.397100,0.45962378
0.399100,0.46379682
0.401100,0.46976048
0.403100,0.47472504
0.405100,0.47892183
0.407100,0.48413092
0.409100,0.48889920
0.411100,0.49716842
0.412800,0.49938005
0.415800,0.50796914
0.418800,0.51568049
0.421800,0.52426308
0.424800,0.53157443
0.427800,0.53676915
0.430800,0.54413724
0.433800,0.54848528
0.436800,0.55385709
0.439800,0.56130487
0.442800,0.56989503
0.445800,0.57578546
0.448800,0.58223933
0.451300,0.58613223
0.453300,0.59126067
0.455300,0.59247434
0.457300,0.59566891
0.459300,0.60025257
0.461300,0.60190660
0.463300,0.60290635
0.465300,0.60521311
0.467300,0.60782868
0.469300,0.61023062
0.471300,0.61176634
0.473300,0.61416578
0.475300,0.61539799
0.477300,0.61673480
0.479300,0.61885017
0.481300,0.61891502
0.483300,0.62041748
0.485300,0.62148899
0.487300,0.62227857
0.489300,0.62476373
0.491300,0.62485951
0.493300,0.62770092
0.495300,0.63021135
0.497300,0.63274252
0.499300,0.63382286
0.501300,0.63736677
0.503300,0.63750577
0.505300,0.63869411
0.507300,0.64195746
0.509300,0.64463627
0.511300,0.64610052
0.513300,0.64798325
0.515300,0.65175211
0.517300,0.65420115
0.519300,0.65736699
0.521300,0.66147476
0.523300,0.66385913
0.525300,0.66615176
0.527300,0.67017412
0.529300,0.67166644
0.531300,0.67436743
0.533300,0.67518038
0.535300,0.67788982
0.537300,0.67780036
0.539300,0.68110275
0.541300,0.68184453
0.543300,0.68365741
0.545300,0.68532771
0.547300,0.68632782
0.549300,0.68920434
0.551300,0.69046915
0.553300,0.69049513
0.555300,0.69190001
0.557300,0.69384867
0.559300,0.69500428
0.561300,0.69697863
0.563300,0.69600898
0.565300,0.69671661
0.567300,0.69688672
0.569300,0.69744515
0.571300,0.69690806
0.573300,0.69796139
0.575300,0.69757539
0.577300,0.69856757
0.579300,0.69861358
0.581300,0.69809753
0.583300,0.69854802
0.585300,0.69837648
0.587300,0.69921559
0.589300,0.69790888
0.591300,0.69814563
0.593300,0.69924080
0.595300,0.69782519
0.597300,0.69928086
0.599300,0.69974792
0.601100,0.70013934
0.602700,0.69810593
0.604300,0.69960177
0.605900,0.69836187
0.607500,0.69902402
0.609100,0.69898081
0.610700,0.69914895
0.612300,0.69934332
0.613900,0.69848919
0.615500,0.69908822
0.617100,0.69951755
0.618700,0.69921488
0.620300,0.69895655
0.621900,0.69951439
0.623500,0.70083719
0.625100,0.69963682
0.626700,0.70040637
0.628300,0.70006537
0.629900,0.70085180
0.631700,0.70038092
0.633700,0.70144683
0.635700,0.70074046
0.637700,0.70084506
0.639700,0.70222563
0.641700,0.70122427
0.643700,0.70156378
0.645700,0.70254409
0.647700,0.70151764
0.649700,0.70422530
0.651700,0.70347840
0.653700,0.70445269
0.655700,0.70472693
0.657700,0.70635122
0.659700,0.70625693
0.661700,0.70768350
0.663700,0.70760840
0.665700,0.71114743
0.667700,0.70912206
0.670200,0.71077061
0.673200,0.70961475
0.676200,0.71242148
0.679200,0.71312124
0.682200,0.71351022
0.685200,0.71540558
0.688200,0.71761012
0.691200,0.71860594
0.694200,0.71969056
0.697200,0.71960938
0.700200,0.72033334
0.702000,0.72243154
0.704000,0.72236991
0.706000,0.72238451
0.708000,0.72652954
0.710000,0.72408634
0.712000,0.72558582
0.714000,0.72522908
0.716000,0.72646344
0.718000,0.72651702
0.720000,0.72541267
0.722000,0.72638845
0.724000,0.72812164
0.726000,0.72941303
0.728000,0.72823620
0.730000,0.72880292
0.732000,0.72742176
0.734000,0.72826469
0.736000,0.72912288
0.738000,0.72944355
0.740000,0.72867084
0.742000,0.73189974
0.744000,0.72965008
0.746000,0.73145062
0.748000,0.73099726
0.750500,0.73342741
0.753500,0.73188722
0.756500,0.73287612
0.759500,0.73301673
0.762500,0.73426217
0.765500,0.73501915
0.768500,0.73260725
0.771500,0.73298603
0.774500,0.73323834
0.777500,0.73433894
0.781000,0.73530084
0.785000,0.73565358
0.789000,0.73438185
0.793000,0.73554182
0.797000,0.73360997
0.801500,0.73636633
0.806500,0.73653030
0.811500,0.73697925
0.816500,0.73544198
0.822000,0.73681253
0.828000,0.73860902
0.835000,0.73556453
0.843000,0.73697400
0.851000,0.73442268
0.859000,0.73314297
0.871000,0.73174810
0.883000,0.73148179
0.894000,0.72747660
0.904000,0.73125601
0.914000,0.72937417
0.924000,0.72960359
0.933000,0.73150057
0.941000,0.72411889
0.949000,0.72830975
0.957000,0.72707862
0.964000,0.72659391
0.970000,0.72754920
0.976000,0.73055536
0.982000,0.72928107
0.988000,0.73249167
0.994000,0.73368639
1.000000,0.73614413
1.006000,0.73742324
1.012000,0.73442018
1.018000,0.73521680
1.023500,0.73602724
1.028500,0.73865426
1.033500,0.73625147
1.038500,0.73877114
1.043500,0.74030858
1.048500,0.73752600
1.053500,0.73978186
1.058500,0.73798800
1.063500,0.73862308
1.068500,0.73974246
1.073500,0.74165994
1.078500,0.74020684
1.083500,0.73996037
1.088500,0.74220949
1.093500,0.74013960
1.098500,0.73902351
1.103500,0.74073827
1.108500,0.74215323
1.113500,0.74137259
1.118500,0.74138176
1.123500,0.74253124
1.128500,0.74082410
1.133500,0.74115717
1.138500,0.74070978
1.143500,0.73986554
1.148500,0.73851883
1.153500,0.73896348
1.158500,0.74082094
1.163500,0.74029648
1.168500,0.74131024
1.173500,0.74296921
1.178500,0.74358070
1.183500,0.74347097
1.188500,0.74522585
1.193500,0.74494082
1.198500,0.74355966
1.203500,0.74361700
1.208500,0.74624884
1.213500,0.74395150
1.218500,0.74827576
1.223500,0.74656218
1.228500,0.74656647
1.233500,0.74628299
1.238500,0.74624527
1.243500,0.74895716
1.248500,0.74944705
1.253500,0.74954200
1.258500,0.74941850
1.263500,0.74974078
1.268500,0.75011206
1.273500,0.75109732
1.278500,0.75195104
1.283500,0.74914533
1.288500,0.75118411
1.293500,0.75204986
1.298500,0.74855036
1.303500,0.74975115
1.308500,0.74995458
1.313500,0.74949747
1.318500,0.74507898
1.323500,0.74887109
1.328500,0.74652994
1.333500,0.74347520
1.338500,0.74413371
1.343500,0.74582058
1.348500,0.74520582
1.353500,0.74184030
1.358500,0.74237639
1.363500,0.73702025
1.368500,0.73448175
1.373500,0.72565740
1.378500,0.71545833
1.383500,0.70362759
1.388500,0.68559617
1.393500,0.66376704
1.398500,0.63562459
1.403500,0.61143154
1.408500,0.59630185
1.413500,0.59221774
1.418500,0.61036307
1.423500,0.62951434
1.428500,0.65415061
1.433500,0.67522019
1.438500,0.68566257
1.443500,0.69555438
1.448500,0.69857931
1.453500,0.69970840
1.458500,0.69897538
1.463500,0.70275348
1.468500,0.70778412
1.473500,0.71412992
1.478500,0.71860850
1.483500,0.72108823
1.488500,0.72593391
1.493500,0.73210561
1.498500,0.73396862
1.503500,0.73289365
1.508500,0.73746294
1.513500,0.73804975
1.518500,0.73993832
1.523500,0.74475276
1.528500,0.74431366
1.534000,0.74609196
1.540000,0.75003648
1.546000,0.75123155
1.552000,0.75122672
1.558000,0.75358957
1.564000,0.75429380
1.570500,0.75385469
1.577500,0.75703597
1.584500,0.75867927
1.591500,0.75754863
1.598500,0.75980878
1.605500,0.76030701
1.612500,0.76161951
1.619500,0.76299959
1.626500,0.76269454
1.633500,0.76330101
1.640500,0.76446575
1.647500,0.76414782
1.654500,0.76420259
1.661500,0.76621056
1.668500,0.76357430
1.676000,0.76528269
1.684000,0.76612824
1.692000,0.76471090
1.700000,0.76713979
1.708000,0.76403642
1.716000,0.76191670
1.724000,0.76254529
1.732000,0.76126021
1.740000,0.76309782
1.748000,0.76217264
1.756000,0.76010907
1.764000,0.75472021
1.772000,0.75464958
1.780000,0.74925363
1.788000,0.75296301
1.796000,0.75197184
1.805000,0.74934632
1.815000,0.74840593
1.825000,0.74444020
1.835000,0.74319607
1.845000,0.73866826
1.855000,0.73108363
1.865000,0.71543586
1.875000,0.68073845
1.885000,0.60965860
1.895000,0.50495839
1.905000,0.44896042
1.915000,0.48068449
1.925000,0.53373289
1.935000,0.56683409
1.945000,0.57978147
1.955000,0.58622199
1.965000,0.59540397
1.975000,0.61183870
1.985000,0.61905050
1.995000,0.63726854
2.005000,0.64516133
2.015000,0.66309083
2.025000,0.67223179
2.035000,0.67698812
2.045000,0.68315297
2.055000,0.68873364
2.065000,0.68898135
2.075000,0.69183189
2.085000,0.68643880
2.095000,0.68981326
2.105000,0.69232118
2.115000,0.69714981
2.125000,0.69676244
2.135000,0.69537932
2.145000,0.68640947
2.155000,0.67587173
2.165000,0.65406352
2.175000,0.61980575
2.185000,0.58667362
2.195000,0.55504239
2.205000,0.51870400
2.215000,0.53779340
2.225000,0.56476110
2.235000,0.58725351
2.245000,0.59980905
2.255000,0.62303710
2.265000,0.63676524
2.275000,0.63347983
2.285000,0.62854707
2.295000,0.61674750
2.305000,0.60194385
2.315000,0.59182662
2.325000,0.58172965
2.335000,0.56544864
2.345000,0.55604100
2.355000,0.54484612
2.365000,0.53715128
2.375000,0.52331436
2.386000,0.51524800
2.400000,0.50405180
2.418000,0.48865044
2.440000,0.47198170
2.466000,0.45165655
2.496000,0.43673390
2.528000,0.41567874
2.560000,0.40501001
2.592000,0.39478433
2.624000,0.36591452
2.656000,0.32070628
2.688000,0.18834971
2.720000,0.04877150
2.752000,0.02393531
2.784000,0.02219302
2.816000,0.03799374
2.848000,0.03780431
2.880000,0.04591174
2.912000,0.04530622
2.944000,0.02601813
2.976000,0.05516304
