# name=smectite_nontronite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.258600,0.03303349
0.263600,0.03995016
0.268600,0.03625345
0.273100,0.03257906
0.277100,0.03386699
0.281100,0.03685910
0.285100,0.03734908
0.289100,0.03821651
0.293100,0.03975237
0.297100,0.04170020
0.301100,0.03759923
0.305100,0.04309119
0.309100,0.03824339
0.313100,0.03808455
0.317100,0.04942122
0.321100,0.04178029
0.325100,0.04184289
0.329100,0.04258410
0.333100,0.04319170
0.337100,0.04155383
0.341100,0.04354145
0.345100,0.04611959
0.349100,0.04923965
0.353100,0.05036375
0.357100,0.05481170
0.360600,0.05718118
0.363600,0.05620046
0.366600,0.05577434
0.369600,0.05719568
0.372600,0.06000164
0.375600,0.06520645
0.378600,0.06551567
0.381100,0.06696542
0.383100,0.06677993
0.385100,0.07180549
0.387100,0.06752976
0.389100,0.07142316
0.391100,0.07154239
0.393100,0.07216348
0.395100,0.07484158
0.397100,0.07682401
0.399100,0.07867647
0.401100,0.07464784
0.403100,0.08156755
0.405100,0.08316696
0.407100,0.08256203
0.409100,0.08541673
0.411100,0.08596248
0.412800,0.08545335
0.415800,0.08678519
0.418800,0.08832353
0.421800,0.08931402
0.424800,0.09095816
0.427800,0.09407122
0.430800,0.09460108
0.433800,0.09362492
0.436800,0.09543345
0.439800,0.09759086
0.442800,0.09926689
0.448800,0.10164545
0.451300,0.10488968
0.453300,0.10520703
0.455300,0.10710674
0.457300,0.10821461
0.459300,0.10975652
0.461300,0.11162361
0.463300,0.11455085
0.465300,0.11690292
0.467300,0.12069022
0.469300,0.12488300
0.471300,0.12871712
0.473300,0.13273180
0.475300,0.13779607
0.477300,0.14040966
0.479300,0.14554878
0.481300,0.14970767
0.483300,0.15338452
0.485300,0.15507150
0.487300,0.15825433
0.489300,0.16038337
0.491300,0.16272555
0.493300,0.16467805
0.495300,0.16743074
0.497300,0.16929996
0.499300,0.17158519
0.501300,0.17452374
0.503300,0.17461449
0.505300,0.17755781
0.507300,0.18237586
0.509300,0.18247382
0.511300,0.18582752
0.513300,0.18868172
0.515300,0.19123322
0.517300,0.19472317
0.519300,0.19690663
0.521300,0.20170984
0.523300,0.20328529
0.525300,0.20676795
0.527300,0.21321604
0.529300,0.21438029
0.531300,0.22218336
0.533300,0.22584163
0.535300,0.22915830
0.537300,0.23702601
0.539300,0.23798636
0.541300,0.24588557
0.543300,0.24757521
0.545300,0.25201643
0.547300,0.25447461
0.549300,0.25920349
0.551300,0.26280990
0.553300,0.26847589
0.555300,0.27137604
0.557300,0.27600718
0.559300,0.27972907
0.561300,0.28326032
0.563300,0.28511110
0.565300,0.28945068
0.567300,0.29093364
0.569300,0.29495609
0.571300,0.29719403
0.573300,0.29983154
0.575300,0.30104560
0.577300,0.30320638
0.579300,0.30173656
0.581300,0.30402222
0.583300,0.30376405
0.585300,0.30609775
0.587300,0.30729255
0.589300,0.30507943
0.591300,0.30786794
0.593300,0.30590251
0.595300,0.30576465
0.597300,0.30377349
0.599300,0.30527827
0.601100,0.30519316
0.602700,0.30334237
0.604300,0.30114883
0.605900,0.30213007
0.607500,0.30333477
0.609100,0.30123797
0.610700,0.30180180
0.612300,0.29982835
0.613900,0.29970205
0.615500,0.29828873
0.617100,0.29577678
0.618700,0.29556060
0.620300,0.29585391
0.621900,0.29687905
0.623500,0.29529724
0.625100,0.29627919
0.626700,0.29411796
0.628300,0.29551631
0.629900,0.29389197
0.631700,0.29482782
0.633700,0.29250026
0.635700,0.29209870
0.637700,0.29355752
0.639700,0.29338682
0.641700,0.29152331
0.643700,0.29339862
0.645700,0.29242337
0.647700,0.29491955
0.649700,0.29552728
0.651700,0.29483971
0.653700,0.29671097
0.655700,0.30190307
0.657700,0.29930660
0.659700,0.30152112
0.661700,0.30245793
0.663700,0.30365038
0.665700,0.30557624
0.667700,0.30886576
0.670200,0.31045386
0.673200,0.31205899
0.676200,0.31818119
0.679200,0.31636450
0.682200,0.32769996
0.685200,0.33099246
0.688200,0.33607027
0.691200,0.33875281
0.694200,0.34522131
0.697200,0.34948105
0.700200,0.35737985
0.702000,0.35946810
0.704000,0.36130646
0.706000,0.36672530
0.708000,0.36985067
0.710000,0.37155056
0.712000,0.37564477
0.714000,0.37537789
0.716000,0.38202327
0.718000,0.38458821
0.720000,0.39120963
0.722000,0.39138234
0.724000,0.39656034
0.726000,0.39482591
0.728000,0.39959255
0.730000,0.40341920
0.732000,0.40471575
0.734000,0.40550700
0.736000,0.41037267
0.738000,0.41065040
0.740000,0.41636306
0.742000,0.41553819
0.744000,0.41986355
0.746000,0.41714841
0.748000,0.42084429
0.750500,0.42018494
0.753500,0.42296559
0.756500,0.42716908
0.759500,0.42729250
0.762500,0.42855760
0.765500,0.42764387
0.768500,0.42918906
0.771500,0.42948207
0.774500,0.42945376
0.777500,0.43188801
0.781000,0.43128124
0.785000,0.43045208
0.789000,0.43085203
0.793000,0.42893299
0.797000,0.42843279
0.801500,0.42784628
0.806500,0.42285445
0.811500,0.42126876
0.816500,0.42252898
0.822000,0.41630533
0.828000,0.41533381
