# name=smectite_saponite  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.258600,0.08688101
0.263600,0.08958650
0.268600,0.09410500
0.273100,0.09191584
0.277100,0.09768327
0.281100,0.10108110
0.285100,0.09988165
0.289100,0.10885866
0.293100,0.12319608
0.297100,0.12000117
0.301100,0.13008760
0.305100,0.13693443
0.309100,0.14081553
0.313100,0.14069159
0.317100,0.15626098
0.321100,0.16339175
0.325100,0.17261118
0.329100,0.17872180
0.333100,0.19474788
0.337100,0.20725957
0.341100,0.22229396
0.345100,0.22718370
0.349100,0.24208494
0.353100,0.25435135
0.357100,0.26674905
0.360600,0.28252000
0.363600,0.29313347
0.366600,0.30233577
0.369600,0.31467056
0.372600,0.32606459
0.375600,0.33507383
0.378600,0.34654769
0.381100,0.35613424
0.383100,0.36431912
0.385100,0.37195489
0.387100,0.37923518
0.389100,0.38736013
0.391100,0.39774534
0.393100,0.40746945
0.395100,0.41378590
0.397100,0.42351812
0.399100,0.43230599
0.401100,0.43497834
0.403100,0.44467098
0.405100,0.45245400
0.407100,0.45871753
0.409100,0.46507433
0.411100,0.47076395
0.412800,0.47451279
0.415800,0.48427096
0.418800,0.48891637
0.421800,0.49918094
0.424800,0.50986314
0.427800,0.51353484
0.430800,0.52030593
0.433800,0.53157359
0.436800,0.53996408
0.439800,0.55162740
0.442800,0.55439454
0.445800,0.56237710
0.448800,0.56776375
0.451300,0.57520723
0.453300,0.57365614
0.455300,0.57938212
0.457300,0.58379394
0.459300,0.58654451
0.461300,0.59135079
0.463300,0.59451896
0.465300,0.60852855
0.467300,0.61198390
0.469300,0.62222248
0.471300,0.62691468
0.473300,0.63496494
0.475300,0.64328223
0.477300,0.64720082
0.479300,0.65264183
0.481300,0.65757233
0.483300,0.66282147
0.485300,0.66586947
0.487300,0.67236179
0.489300,0.67639554
0.491300,0.67851996
0.493300,0.68202472
0.495300,0.68566042
0.497300,0.69238329
0.499300,0.69972807
0.501300,0.70370495
0.503300,0.70221406
0.505300,0.70631063
0.507300,0.71463352
0.509300,0.72193885
0.511300,0.72341859
0.513300,0.72918445
0.515300,0.73445779
0.517300,0.73449445
0.519300,0.74651325
0.521300,0.74323791
0.523300,0.74858254
0.525300,0.75832361
0.527300,0.75170648
0.529300,0.75211245
0.531300,0.75955504
0.533300,0.76399148
0.535300,0.76354229
0.537300,0.76917863
0.539300,0.76500553
0.541300,0.76857698
0.543300,0.77488947
0.545300,0.77849489
0.547300,0.77532244
0.549300,0.77362400
0.551300,0.77888876
0.553300,0.78104436
0.555300,0.77632409
0.557300,0.77741307
0.559300,0.78012836
0.561300,0.78443974
0.563300,0.78351599
0.565300,0.78470021
0.567300,0.77996802
0.569300,0.78043157
0.571300,0.78298527
0.573300,0.78755516
0.575300,0.78746325
0.577300,0.78487635
0.579300,0.78704107
0.581300,0.79059595
0.583300,0.79111689
0.585300,0.79068762
0.587300,0.79147446
0.589300,0.79036653
0.591300,0.79397970
0.593300,0.79777437
0.595300,0.79218477
0.597300,0.79176635
0.599300,0.80060458
0.601100,0.79614478
0.602700,0.79597366
0.604300,0.79588711
0.605900,0.79272842
0.607500,0.79623228
0.609100,0.79383856
0.610700,0.80069155
0.612300,0.79726100
0.613900,0.79692131
0.615500,0.80102545
0.617100,0.79886973
0.618700,0.79734010
0.620300,0.80511898
0.621900,0.80033463
0.623500,0.80255884
0.625100,0.80367327
0.626700,0.80116504
0.628300,0.80168927
0.629900,0.80254781
0.631700,0.80511659
0.633700,0.80431187
0.635700,0.80954534
0.637700,0.80457765
0.639700,0.80270225
0.641700,0.81621426
0.643700,0.80506128
0.645700,0.80853945
0.647700,0.81070918
0.649700,0.80852121
0.651700,0.81178743
0.653700,0.80846930
0.655700,0.81486577
0.657700,0.81742895
0.659700,0.81913227
0.661700,0.82032448
0.663700,0.81955779
0.665700,0.82427979
0.667700,0.81933564
0.670200,0.82455784
0.673200,0.82801914
0.676200,0.82368279
0.679200,0.82244581
0.682200,0.83019024
0.685200,0.83237249
0.688200,0.83162278
0.691200,0.83647716
0.694200,0.83099699
0.697200,0.83895957
0.700200,0.83652782
0.702000,0.84078687
0.704000,0.84230471
0.706000,0.84314221
0.708000,0.84245187
0.710000,0.84053028
0.712000,0.84194171
0.714000,0.84710991
0.716000,0.84451324
0.718000,0.85035092
0.720000,0.84442556
0.722000,0.84952074
0.724000,0.84823698
0.726000,0.84904039
0.728000,0.84526861
0.730000,0.84861332
0.732000,0.84648412
0.734000,0.84881026
0.736000,0.84988004
0.738000,0.85001153
0.740000,0.84850007
0.742000,0.84596682
0.744000,0.84960002
0.746000,0.84950006
0.748000,0.84990001
0.750500,0.85008663
0.753500,0.85198724
0.756500,0.85081798
0.759500,0.84940189
0.762500,0.85411644
0.765500,0.84992898
0.768500,0.84937775
0.771500,0.85004413
0.774500,0.84655416
0.777500,0.85515946
0.781000,0.85225362
0.785000,0.84838474
0.789000,0.84833187
0.793000,0.84715384
0.797000,0.85121888
0.801500,0.84680718
0.806500,0.84588861
0.811500,0.84730732
0.816500,0.84433532
