# name=sulfate_gypsum  source=USGS_splib07a  instrument=BECK_Beckman  class=sulfate
wavelength_um,reflectance
0.221100,0.75918424
0.229100,0.76509202
0.236100,0.76150775
0.242100,0.76616138
0.248100,0.77435541
0.253600,0.78027040
0.258600,0.78610051
0.263600,0.78102887
0.268600,0.78348887
0.273100,0.77836657
0.277100,0.78279930
0.281100,0.79172635
0.285100,0.80044794
0.289100,0.80064315
0.293100,0.80131012
0.297100,0.80051517
0.301100,0.80488980
0.305100,0.81751364
0.309100,0.82638383
0.313100,0.82833427
0.317100,0.83713871
0.321100,0.84206742
0.325100,0.84503299
0.329100,0.85270000
0.333100,0.85566533
0.337100,0.86007619
0.341100,0.86684448
0.345100,0.86591864
0.349100,0.87156129
0.353100,0.87403882
0.357100,0.87559736
0.360600,0.88078701
0.363600,0.88039249
0.366600,0.88129562
0.369600,0.87827557
0.372600,0.88241386
0.375600,0.88248932
0.378600,0.88225156
0.381100,0.88442677
0.383100,0.88712329
0.385100,0.88468558
0.387100,0.88702607
0.389100,0.88844961
0.391100,0.88716137
0.393100,0.88995677
0.395100,0.88952374
0.397100,0.88879907
0.399100,0.89109600
0.401100,0.88936418
0.403100,0.88925284
0.405100,0.89018899
0.407100,0.89321238
0.409100,0.89269310
0.411100,0.89292026
0.412800,0.89673823
0.415800,0.89324635
0.418800,0.89346921
0.421800,0.89402896
0.424800,0.89803421
0.427800,0.89638084
0.430800,0.89374995
0.433800,0.89819753
0.436800,0.89684451
0.439800,0.90063429
0.442800,0.89649028
0.445800,0.89595473
0.448800,0.90322024
0.451300,0.90425199
0.453300,0.90127063
0.455300,0.90431958
0.457300,0.90384781
0.459300,0.90434432
0.461300,0.89702231
0.463300,0.90407062
0.465300,0.90426034
0.467300,0.90429699
0.469300,0.90417391
0.471300,0.90373981
0.473300,0.90482944
0.475300,0.90168273
0.477300,0.90564245
0.479300,0.90649581
0.481300,0.90263635
0.483300,0.91011667
0.485300,0.90641010
0.487300,0.89992899
0.489300,0.90746677
0.491300,0.90831727
0.493300,0.90971690
0.495300,0.90808403
0.497300,0.91012990
0.499300,0.90823781
0.501300,0.90987265
0.503300,0.90582901
0.505300,0.90869868
0.507300,0.91056728
0.509300,0.91193193
0.511300,0.90994406
0.513300,0.91148061
0.515300,0.90901262
0.517300,0.91593301
0.519300,0.91324091
0.521300,0.91257995
0.523300,0.91727364
0.525300,0.91169840
0.527300,0.91216356
0.529300,0.91331053
0.531300,0.91697490
0.533300,0.91434920
0.535300,0.91715491
0.537300,0.91948992
0.539300,0.91433209
0.541300,0.91718543
0.543300,0.91884470
0.545300,0.91776258
0.547300,0.91628236
0.549300,0.91774160
0.551300,0.91940093
0.553300,0.91892678
0.555300,0.91525620
0.557300,0.92031288
0.559300,0.91657734
0.561300,0.91996855
0.563300,0.91670597
0.565300,0.91696852
0.567300,0.92055571
0.569300,0.91856033
0.571300,0.92009205
0.573300,0.92561960
0.575300,0.92209828
0.577300,0.92129761
0.579300,0.92216504
0.581300,0.92010134
0.583300,0.92183214
0.585300,0.92183530
0.587300,0.92282635
0.589300,0.91997153
0.591300,0.92662627
0.593300,0.92640328
0.595300,0.92090517
0.597300,0.91938215
0.599300,0.92407161
0.601100,0.92235774
0.602700,0.92459428
0.604300,0.92181438
0.605900,0.92227381
0.607500,0.92300671
0.609100,0.92432094
0.610700,0.92459995
0.612300,0.92643100
0.613900,0.92505920
0.615500,0.92300993
0.617100,0.92206746
0.618700,0.92325383
0.620300,0.92609191
0.621900,0.92438316
0.623500,0.92478037
0.625100,0.92945307
0.626700,0.92252278
0.628300,0.92535412
0.629900,0.92614812
0.631700,0.92608911
0.633700,0.92081839
0.635700,0.92785299
0.637700,0.92370492
0.639700,0.92626047
0.641700,0.92382360
0.643700,0.92303276
0.645700,0.92433649
0.647700,0.92881328
0.649700,0.92400008
0.651700,0.92552108
0.653700,0.92722172
0.655700,0.92375857
0.657700,0.92585731
0.659700,0.92585713
0.661700,0.92500514
0.663700,0.92585677
0.665700,0.92704827
0.667700,0.92472744
0.670200,0.92676592
0.673200,0.92682356
0.676200,0.92597353
0.679200,0.92439204
0.682200,0.92546082
0.685200,0.92722118
0.688200,0.92591655
0.691200,0.92790294
0.694200,0.92342454
0.697200,0.92904353
0.700200,0.92796052
0.702000,0.92544836
0.704000,0.93007880
0.706000,0.92882001
0.708000,0.92870754
0.710000,0.92716265
0.712000,0.92710513
0.714000,0.92578912
0.716000,0.92601269
0.718000,0.93238729
0.720000,0.93182158
0.722000,0.92923075
0.724000,0.92813832
0.726000,0.92767620
0.728000,0.92686766
0.730000,0.92756015
0.732000,0.92935365
0.734000,0.92796534
0.736000,0.92796528
0.738000,0.92570347
0.740000,0.92767543
0.742000,0.92738521
0.744000,0.92982888
0.746000,0.92854798
0.748000,0.92627674
0.750500,0.92965919
0.753500,0.92773318
0.756500,0.92931724
0.759500,0.93118834
0.762500,0.93226051
0.765500,0.92328209
0.768500,0.92561531
0.771500,0.92643774
0.774500,0.92561531
0.777500,0.92915434
0.781000,0.92690361
0.785000,0.92518783
0.789000,0.92535567
0.793000,0.92838770
0.797000,0.93125880
0.801500,0.93162251
0.806500,0.93378490
0.811500,0.93325293
0.816500,0.93212897
0.822000,0.92893833
0.828000,0.93306869
0.835000,0.93504536
0.851000,0.93456131
0.859000,0.92426938
0.871000,0.92609245
0.883000,0.92627859
0.894000,0.92033648
0.904000,0.91880065
0.914000,0.91495270
0.924000,0.91355312
0.933000,0.91482437
0.941000,0.90916336
0.949000,0.90190417
0.957000,0.89328724
0.964000,0.88852781
0.970000,0.88061881
0.976000,0.87286699
0.982000,0.86092222
0.988000,0.85874164
0.994000,0.84999335
1.000000,0.85636914
1.006000,0.86107534
1.012000,0.86844051
1.018000,0.87851435
1.023500,0.88577598
1.028500,0.89161700
1.033500,0.89293313
1.038500,0.89844865
1.043500,0.90218067
1.048500,0.90515238
1.053500,0.90492624
1.058500,0.90584648
1.063500,0.90567952
1.068500,0.90839106
1.073500,0.90624261
1.078500,0.90608001
1.083500,0.90574759
1.088500,0.90176314
1.093500,0.90287781
1.098500,0.89853501
1.103500,0.89461231
1.108500,0.89029169
1.113500,0.88976622
1.118500,0.88901430
1.123500,0.88423920
1.128500,0.88290942
1.133500,0.87697148
1.138500,0.87335718
1.143500,0.86697274
1.148500,0.85631579
1.153500,0.84098375
1.158500,0.82205898
1.163500,0.80052686
1.168500,0.78458291
1.173500,0.76716238
1.178500,0.76104540
