# name=sulfate_jarosite_k  source=USGS_splib07a  instrument=BECK_Beckman  class=sulfate
wavelength_um,reflectance
0.213100,0.01088193
0.221100,0.01120296
0.229100,0.01153679
0.236100,0.01040378
0.242100,0.01069658
0.248100,0.00974524
0.253600,0.01031665
0.258600,0.00999448
0.263600,0.01008141
0.268600,0.01050745
0.273100,0.01153880
0.277100,0.01194049
0.281100,0.01334838
0.285100,0.01376040
0.289100,0.01490911
0.293100,0.01515523
0.297100,0.01558760
0.301100,0.01547425
0.305100,0.01581160
0.309100,0.01538935
0.313100,0.01575379
0.317100,0.01551300
0.321100,0.01660126
0.325100,0.01456479
0.329100,0.01554540
0.333100,0.01568631
0.337100,0.01498938
0.341100,0.01617113
0.345100,0.01576002
0.349100,0.01595474
0.353100,0.01694040
0.357100,0.01704437
0.360600,0.01876535
0.363600,0.01932979
0.366600,0.02037258
0.369600,0.02181760
0.372600,0.02234919
0.375600,0.02375517
0.378600,0.02562221
0.381100,0.02666997
0.383100,0.02742012
0.385100,0.03003390
0.387100,0.03223989
0.389100,0.03468008
0.391100,0.03814520
0.393100,0.04204057
0.395100,0.04575219
0.397100,0.05141042
0.399100,0.05817005
0.401100,0.06625076
0.403100,0.07393009
0.405100,0.08263683
0.407100,0.09062348
0.409100,0.09899899
0.411100,0.10759664
0.412800,0.11251246
0.415800,0.11941817
0.418800,0.12223811
0.421800,0.12185691
0.424800,0.11869914
0.427800,0.11284774
0.430800,0.10253978
0.433800,0.09549519
0.436800,0.09612714
0.439800,0.10405964
0.442800,0.11522546
0.445800,0.12746382
0.448800,0.14206535
0.451300,0.15312037
0.453300,0.16417587
0.455300,0.17382564
0.457300,0.18372820
0.459300,0.19158393
0.461300,0.19950888
0.463300,0.20691845
0.465300,0.21252634
0.467300,0.21809421
0.469300,0.22353595
0.471300,0.22906375
0.473300,0.23307183
0.475300,0.23916620
0.477300,0.24301280
0.479300,0.24791290
0.481300,0.25296083
0.483300,0.25740814
0.485300,0.26199004
0.487300,0.26724893
0.489300,0.27142903
0.491300,0.27680108
0.493300,0.28200173
0.495300,0.28613788
0.497300,0.29129595
0.499300,0.29654256
0.501300,0.30184054
0.503300,0.30596951
0.505300,0.31147102
0.507300,0.31625685
0.509300,0.32202110
0.511300,0.32691014
0.513300,0.33303618
0.515300,0.33894107
0.517300,0.34470704
0.519300,0.34967613
0.521300,0.35619038
0.523300,0.36222544
0.525300,0.36707941
0.527300,0.37258062
0.529300,0.37941077
0.531300,0.38502619
0.533300,0.39182651
0.535300,0.39900216
0.537300,0.40435416
0.539300,0.41213474
0.541300,0.41583779
0.543300,0.42267859
0.545300,0.42869884
0.547300,0.43490267
0.549300,0.43921176
0.551300,0.44479978
0.553300,0.45150989
0.555300,0.45644203
0.557300,0.46241647
0.559300,0.46589148
0.561300,0.47285298
0.563300,0.47791460
0.565300,0.48168245
0.567300,0.48628482
0.569300,0.49024227
0.571300,0.49390501
0.573300,0.49806115
0.575300,0.50117761
0.577300,0.50444090
0.579300,0.50918657
0.581300,0.51186556
0.583300,0.51517838
0.585300,0.51642591
0.587300,0.52030158
0.589300,0.52249092
0.591300,0.52510452
0.593300,0.52820176
0.595300,0.53007919
0.597300,0.53248376
0.599300,0.53504550
0.601100,0.53839189
0.602700,0.53959167
0.604300,0.54196209
0.605900,0.54359162
0.607500,0.54653341
0.609100,0.54684401
0.610700,0.55045402
0.612300,0.55167758
0.613900,0.55520397
0.615500,0.55863285
0.617100,0.55844039
0.618700,0.56080580
0.620300,0.56368387
0.621900,0.56564867
0.623500,0.56837708
0.625100,0.57029814
0.626700,0.57206333
0.628300,0.57661563
0.629900,0.57589108
0.631700,0.57917559
0.633700,0.58162141
0.635700,0.58452147
0.637700,0.58692461
0.639700,0.58935302
0.641700,0.59318912
0.643700,0.59524018
0.645700,0.59872657
0.647700,0.60221076
0.649700,0.60516399
0.651700,0.60700727
0.653700,0.61102873
0.655700,0.61377096
0.657700,0.61847657
0.659700,0.62114298
0.661700,0.62366664
0.663700,0.62804431
0.665700,0.63084847
0.667700,0.63450044
0.670200,0.63832235
0.673200,0.64314914
0.676200,0.64830995
0.679200,0.65492040
0.682200,0.65923262
0.685200,0.66392934
0.688200,0.66838139
0.691200,0.67222297
0.694200,0.67588854
0.697200,0.67985129
0.700200,0.68085271
0.702000,0.68248284
0.704000,0.68361765
0.706000,0.68618256
0.708000,0.68652910
0.710000,0.68707657
0.712000,0.68837005
0.714000,0.68904102
0.716000,0.69018167
0.718000,0.68922913
0.720000,0.68934739
0.722000,0.69006324
0.724000,0.68835700
0.726000,0.68798918
0.728000,0.68759227
0.730000,0.68685943
0.732000,0.68477166
0.734000,0.68215352
0.736000,0.68247640
0.738000,0.67952901
0.740000,0.67626667
0.742000,0.67491943
0.744000,0.67392951
0.746000,0.67047131
0.748000,0.66763282
0.750500,0.66471928
0.753500,0.66135401
0.756500,0.65706861
0.759500,0.65226209
0.762500,0.64656383
0.765500,0.64176589
0.768500,0.63737601
0.771500,0.63273197
0.774500,0.62720203
0.777500,0.62267637
0.781000,0.61662692
0.785000,0.61041850
0.789000,0.60289365
0.793000,0.59555656
0.797000,0.58879161
0.801500,0.58211923
0.806500,0.57395762
0.811500,0.56540477
0.816500,0.55864680
0.822000,0.55097514
0.828000,0.54179710
0.835000,0.53202242
0.843000,0.52435839
0.851000,0.51489305
0.859000,0.50747663
0.871000,0.49546447
0.883000,0.48720831
0.894000,0.48439544
0.904000,0.48280716
0.914000,0.47740737
0.924000,0.47733080
0.933000,0.47992247
0.941000,0.47833890
0.949000,0.48019442
0.957000,0.48348272
0.964000,0.48960683
0.970000,0.49079308
0.976000,0.49475110
0.982000,0.49837983
0.988000,0.50206023
0.994000,0.50529045
1.000000,0.51177138
1.006000,0.51623094
1.012000,0.52162218
1.018000,0.52601105
1.023500,0.53328353
1.028500,0.53755021
1.033500,0.54328603
1.038500,0.54788435
1.043500,0.55347925
1.048500,0.55919284
1.053500,0.56378090
1.058500,0.56931615
1.063500,0.57301772
1.068500,0.57645696
1.073500,0.58061993
1.078500,0.58409786
1.083500,0.58982873
1.088500,0.59319496
1.093500,0.59782833
1.098500,0.59957439
1.103500,0.60357815
1.108500,0.60886884
1.113500,0.61048532
1.118500,0.61178470
1.123500,0.61550057
1.128500,0.61965150
1.133500,0.62154090
1.138500,0.62487668
1.143500,0.62743640
1.148500,0.62968677
1.153500,0.63356096
1.158500,0.63361573
1.163500,0.63674855
1.168500,0.63975942
1.173500,0.64351040
1.178500,0.64496303
1.183500,0.64840794
1.188500,0.65234530
1.193500,0.65452194
1.198500,0.65775752
1.203500,0.65899944
1.208500,0.66357434
1.213500,0.66701835
1.218500,0.67027676
1.223500,0.67185694
1.228500,0.67565453
1.233500,0.67827320
1.238500,0.68206644
1.243500,0.68522537
1.248500,0.68819368
1.253500,0.69298995
1.258500,0.69477630
1.263500,0.69847351
1.268500,0.70235008
1.273500,0.70503074
1.278500,0.70885140
1.283500,0.71335089
1.288500,0.71620208
1.293500,0.71951205
1.298500,0.72364271
1.303500,0.72599870
1.308500,0.72748053
1.313500,0.73267901
1.318500,0.73671371
1.323500,0.73975819
1.328500,0.74393886
1.333500,0.74777317
1.338500,0.75097001
1.343500,0.75374401
1.348500,0.75691205
1.353500,0.75898129
1.358500,0.76186508
1.363500,0.76579684
1.368500,0.76725590
1.373500,0.77134717
1.378500,0.77383739
1.383500,0.77846366
1.388500,0.77954268
1.393500,0.78093678
1.398500,0.78491896
1.403500,0.78465682
1.408500,0.78735083
1.413500,0.78646284
1.418500,0.78493202
1.423500,0.78274316
1.428500,0.78083265
1.433500,0.78369862
1.438500,0.77857637
1.443500,0.77640408
1.448500,0.76880229
1.453500,0.75883275
1.458500,0.74740082
1.463500,0.72829479
1.468500,0.71478862
1.473500,0.72660905
1.478500,0.74830973
1.483500,0.75737691
1.488500,0.75767791
1.493500,0.75895756
1.498500,0.75624883
1.503500,0.75845045
1.508500,0.75737369
1.513500,0.75806749
1.518500,0.75954372
1.523500,0.76317173
1.528500,0.76497734
1.534000,0.76830602
1.540000,0.77374601
1.546000,0.78043568
1.552000,0.78509063
1.558000,0.78913528
1.564000,0.79388911
1.570500,0.79464275
1.577500,0.80046052
1.584500,0.80330902
1.591500,0.80690104
1.598500,0.81080979
1.605500,0.81424850
1.612500,0.81465799
1.619500,0.81766462
1.626500,0.81998736
1.633500,0.81748253
1.640500,0.82206291
1.647500,0.82406545
1.654500,0.82437825
1.661500,0.82724631
1.668500,0.82684201
1.676000,0.82569534
1.684000,0.82647169
1.692000,0.83098507
1.700000,0.83008838
1.708000,0.83407885
1.716000,0.82818550
1.724000,0.83044106
1.732000,0.83023149
1.740000,0.82747126
1.748000,0.82534420
1.756000,0.82583773
1.764000,0.82264513
1.772000,0.82104701
1.780000,0.82036483
1.788000,0.82119453
1.796000,0.81568211
1.805000,0.80869746
1.815000,0.80223119
1.825000,0.79282087
1.835000,0.77420485
1.845000,0.73522276
1.855000,0.73009032
1.865000,0.73845351
1.875000,0.77896243
1.885000,0.78894353
1.895000,0.78710431
1.905000,0.77513593
1.915000,0.76201916
1.925000,0.74332488
1.935000,0.73474258
1.945000,0.73404217
1.955000,0.73504794
1.965000,0.73333949
1.975000,0.73251438
1.985000,0.73497856
1.995000,0.73226869
2.005000,0.73448032
2.015000,0.73487055
2.025000,0.73394090
2.035000,0.73585188
2.045000,0.73437387
2.055000,0.72893852
2.065000,0.72816092
2.075000,0.72556508
2.085000,0.72684735
2.095000,0.72527403
2.105000,0.72259492
2.115000,0.72268975
2.125000,0.71669632
2.135000,0.71285111
2.145000,0.70587695
2.155000,0.69811833
2.165000,0.68600929
2.175000,0.67608207
2.185000,0.66401809
2.195000,0.64591062
2.205000,0.63440579
2.215000,0.62657833
2.225000,0.63074845
2.235000,0.63683295
2.245000,0.62077975
2.255000,0.56992358
2.265000,0.54595369
2.275000,0.56269896
2.285000,0.61159062
2.295000,0.64424974
2.305000,0.66643196
2.315000,0.69763803
2.325000,0.71113819
2.335000,0.71485633
2.345000,0.71147001
2.355000,0.71305621
2.365000,0.69639450
2.375000,0.68158591
2.386000,0.65930510
2.400000,0.63449919
2.418000,0.62673318
2.440000,0.61022222
2.466000,0.56957424
2.496000,0.53882730
2.528000,0.52829885
2.560000,0.51750457
2.592000,0.46167934
2.624000,0.44121292
2.656000,0.46877179
2.688000,0.49908224
2.720000,0.45852783
2.752000,0.32319659
2.784000,0.20135230
2.816000,0.13403782
2.848000,0.06596246
2.880000,0.03217776
2.912000,0.01365638
2.944000,0.00813993
2.976000,0.01967401
