# name=sulfate_jarosite_na  source=USGS_splib07a  instrument=BECK_Beckman  class=sulfate
wavelength_um,reflectance
0.242100,0.04055069
0.248100,0.03231868
0.253600,0.03359053
0.258600,0.02842297
0.263600,0.02653858
0.268600,0.02820320
0.273100,0.02973762
0.277100,0.03316527
0.281100,0.03198207
0.285100,0.03458529
0.289100,0.03512969
0.293100,0.03442528
0.297100,0.03515712
0.301100,0.03672811
0.305100,0.03386653
0.309100,0.03363558
0.313100,0.03111008
0.317100,0.03108885
0.321100,0.02888341
0.325100,0.02963947
0.329100,0.02871206
0.333100,0.02710811
0.337100,0.02725279
0.341100,0.02615924
0.345100,0.02703978
0.349100,0.02486485
0.353100,0.02123926
0.357100,0.02121172
0.360600,0.02111251
0.363600,0.02100389
0.366600,0.02167381
0.369600,0.02060129
0.372600,0.02039387
0.375600,0.02080401
0.378600,0.02001089
0.381100,0.02053093
0.383100,0.02032987
0.385100,0.02126478
0.387100,0.02073102
0.389100,0.02189379
0.391100,0.02188546
0.393100,0.02344277
0.395100,0.02314702
0.397100,0.02537891
0.399100,0.02640395
0.401100,0.02813306
0.403100,0.03076533
0.405100,0.03363874
0.407100,0.03611718
0.409100,0.03862362
0.411100,0.04138417
0.412800,0.04316185
0.415800,0.04494882
0.418800,0.04482073
0.421800,0.04430756
0.424800,0.04279526
0.427800,0.03948388
0.430800,0.03606993
0.433800,0.03303707
0.436800,0.03281519
0.439800,0.03455728
0.442800,0.03849047
0.445800,0.04278193
0.448800,0.04856100
0.451300,0.05254935
0.453300,0.05643251
0.455300,0.06110890
0.457300,0.06469350
0.459300,0.06948400
0.461300,0.07252023
0.463300,0.07656180
0.465300,0.07944165
0.467300,0.08291595
0.469300,0.08627153
0.471300,0.08857407
0.473300,0.09262684
0.475300,0.09597788
0.477300,0.09953508
0.479300,0.10361054
0.481300,0.10667484
0.483300,0.11080046
0.485300,0.11468737
0.487300,0.11901259
0.489300,0.12277578
0.491300,0.12673324
0.493300,0.13085598
0.495300,0.13533466
0.497300,0.13955574
0.499300,0.14417695
0.501300,0.15000054
0.503300,0.15428036
0.505300,0.15939768
0.507300,0.16392207
0.509300,0.16993895
0.511300,0.17580226
0.513300,0.18021306
0.515300,0.18575306
0.517300,0.19222355
0.519300,0.19793245
0.521300,0.20467526
0.523300,0.21064334
0.525300,0.21794489
0.527300,0.22432268
0.529300,0.23150185
0.531300,0.23747313
0.533300,0.24483213
0.535300,0.25200635
0.537300,0.25977096
0.539300,0.26706594
0.541300,0.27456939
0.543300,0.28176659
0.545300,0.28936291
0.547300,0.29674467
0.549300,0.30349356
0.551300,0.31114390
0.553300,0.31825602
0.555300,0.32582712
0.557300,0.33155298
0.559300,0.33896068
0.561300,0.34482443
0.563300,0.35110453
0.565300,0.35640928
0.567300,0.36193177
0.569300,0.36676067
0.571300,0.37106258
0.573300,0.37563011
0.575300,0.37954584
0.577300,0.38369721
0.579300,0.38707328
0.581300,0.38927260
0.583300,0.39353520
0.585300,0.39558581
0.587300,0.39760840
0.589300,0.40096712
0.591300,0.40171647
0.593300,0.40406150
0.595300,0.40607685
0.597300,0.40728617
0.599300,0.41022435
0.601100,0.41152838
0.602700,0.41418499
0.604300,0.41501722
0.605900,0.41804147
0.607500,0.41873267
0.609100,0.42044619
0.610700,0.42265412
0.612300,0.42384982
0.613900,0.42673129
0.615500,0.42953187
0.617100,0.43129849
0.618700,0.43324986
0.620300,0.43556607
0.621900,0.43824568
0.623500,0.44075239
0.625100,0.44259870
0.626700,0.44463390
0.628300,0.44695991
0.629900,0.44997856
0.631700,0.45299843
0.633700,0.45519182
0.635700,0.45766261
0.637700,0.46145239
0.639700,0.46413955
0.641700,0.46757433
0.643700,0.47049290
0.645700,0.47402999
0.647700,0.47733530
0.649700,0.48042804
0.651700,0.48416066
0.653700,0.48705772
0.655700,0.49235669
0.657700,0.49596989
0.659700,0.49989095
0.661700,0.50550115
0.663700,0.50968647
0.665700,0.51465613
0.667700,0.51868749
0.670200,0.52488744
0.673200,0.53140420
0.676200,0.53982699
0.679200,0.54600787
0.682200,0.55445445
0.685200,0.56136376
0.688200,0.56853354
0.691200,0.57539898
0.694200,0.58160299
0.697200,0.58527106
0.700200,0.59209114
0.702000,0.59156233
0.704000,0.59358644
0.706000,0.59484577
0.708000,0.59667426
0.710000,0.59810811
0.712000,0.59810656
0.714000,0.59841269
0.716000,0.59757674
0.718000,0.59636885
0.720000,0.59518212
0.722000,0.59234941
0.724000,0.59096426
0.726000,0.58847398
0.728000,0.58598548
0.730000,0.58385241
0.732000,0.57935911
0.734000,0.57619363
0.736000,0.57180536
0.738000,0.56850314
0.740000,0.56497753
0.742000,0.55974221
0.744000,0.55450559
0.746000,0.54949725
0.748000,0.54548723
0.750500,0.53820473
0.753500,0.53162181
0.756500,0.52345693
0.759500,0.51523781
0.762500,0.50626791
0.765500,0.49881077
0.768500,0.49117941
0.771500,0.48189485
0.774500,0.47415429
0.777500,0.46664599
0.781000,0.45710862
0.785000,0.44540036
0.789000,0.43496865
0.793000,0.42445803
0.797000,0.41543594
0.801500,0.40448952
0.806500,0.39268401
0.811500,0.38200790
0.816500,0.37232417
0.822000,0.36195651
0.828000,0.35037142
0.835000,0.34027603
0.843000,0.32874644
0.851000,0.31973964
0.859000,0.30682001
0.871000,0.29612646
0.883000,0.29125142
0.894000,0.28444737
0.904000,0.28247511
0.914000,0.27766076
0.924000,0.27742055
0.933000,0.27795526
0.941000,0.27879989
0.949000,0.28072447
0.957000,0.28359842
0.964000,0.28838050
0.970000,0.29361537
0.976000,0.29616040
0.982000,0.30051681
0.988000,0.30543268
0.994000,0.31170329
1.000000,0.31714129
1.006000,0.32594451
1.012000,0.33258554
1.018000,0.34133920
1.023500,0.34705293
1.028500,0.35501301
1.033500,0.36274090
1.038500,0.37085006
1.043500,0.37690410
1.048500,0.38337293
1.053500,0.38896155
1.058500,0.39861405
1.063500,0.40289000
1.068500,0.41019821
1.073500,0.41546956
1.078500,0.42117509
1.083500,0.42757356
1.088500,0.43200853
1.093500,0.43724135
1.098500,0.44076028
1.103500,0.44671309
1.108500,0.45031375
1.113500,0.45361340
1.118500,0.45673990
1.123500,0.46192354
1.128500,0.46496436
1.133500,0.46847114
1.138500,0.47181022
1.143500,0.47543958
1.148500,0.47897530
1.153500,0.48337978
1.158500,0.48503837
1.163500,0.48992851
1.168500,0.49224094
1.173500,0.49634555
1.178500,0.50111824
1.183500,0.50465423
1.188500,0.51086414
1.193500,0.51253206
1.198500,0.51841319
1.203500,0.52017689
1.208500,0.52634156
