# name=talc  source=USGS_splib07a  instrument=BECK_Beckman  class=phyllosilicate
wavelength_um,reflectance
0.221100,0.31905872
0.229100,0.34039536
0.236100,0.37995178
0.242100,0.38518232
0.248100,0.38452777
0.253600,0.38379335
0.258600,0.38677925
0.263600,0.38256279
0.268600,0.40131822
0.273100,0.40986878
0.277100,0.42258787
0.281100,0.43726736
0.285100,0.44869259
0.289100,0.45991305
0.293100,0.46261704
0.297100,0.48279661
0.301100,0.49866450
0.305100,0.50876904
0.309100,0.50744480
0.313100,0.52091920
0.317100,0.52922833
0.321100,0.54300064
0.325100,0.54881883
0.329100,0.56420624
0.333100,0.57851267
0.337100,0.58428049
0.341100,0.59839398
0.345100,0.61623871
0.349100,0.63028359
0.353100,0.63706928
0.357100,0.64693362
0.360600,0.65230221
0.363600,0.66081136
0.366600,0.67017227
0.369600,0.67674232
0.372600,0.68521351
0.375600,0.69521993
0.378600,0.69849992
0.381100,0.70461273
0.383100,0.71213228
0.385100,0.71307766
0.387100,0.71989244
0.389100,0.72401536
0.391100,0.73093885
0.393100,0.73289979
0.395100,0.73808426
0.397100,0.73858732
0.399100,0.74729019
0.401100,0.75055945
0.403100,0.75497591
0.405100,0.75675881
0.407100,0.75872999
0.409100,0.77261287
0.411100,0.77363133
0.412800,0.77152926
0.415800,0.77723610
0.418800,0.78063571
0.421800,0.78778619
0.424800,0.79507959
0.427800,0.79520917
0.430800,0.79838377
0.433800,0.80510819
0.436800,0.81071204
0.439800,0.80646694
0.442800,0.81317258
0.445800,0.81930709
0.448800,0.82350898
0.451300,0.81584650
0.453300,0.82618779
0.455300,0.82940805
0.457300,0.82204473
0.459300,0.82660085
0.461300,0.83028811
0.463300,0.82754916
0.465300,0.83395493
0.467300,0.82849336
0.469300,0.83274496
0.471300,0.83436179
0.473300,0.83376580
0.475300,0.83329040
0.477300,0.83691001
0.479300,0.83625787
0.481300,0.83407658
0.483300,0.84135538
0.485300,0.83836633
0.487300,0.84320700
0.489300,0.84011239
0.491300,0.84946817
0.493300,0.84528303
0.495300,0.84408069
0.497300,0.84768844
0.499300,0.85271668
0.501300,0.84625548
0.503300,0.85282272
0.505300,0.85912722
0.507300,0.85622418
0.509300,0.85465378
0.511300,0.85755044
0.513300,0.86364752
0.515300,0.86244571
0.517300,0.85836542
0.519300,0.86616921
0.521300,0.86856520
0.523300,0.86624110
0.525300,0.86694330
0.527300,0.86439151
0.529300,0.86617827
0.531300,0.86885774
0.533300,0.86970699
0.535300,0.86674321
0.537300,0.86766905
0.539300,0.87141532
0.541300,0.87768549
0.543300,0.87216681
0.545300,0.87301254
0.547300,0.87275136
0.549300,0.87055397
0.551300,0.87833375
0.553300,0.87349582
0.555300,0.87188858
0.557300,0.88011330
0.559300,0.87687957
0.561300,0.87707734
0.563300,0.87840426
0.565300,0.87557000
0.567300,0.87453002
0.569300,0.87415552
0.571300,0.87519437
0.573300,0.88048619
0.575300,0.87859261
0.577300,0.87574619
0.579300,0.88343006
0.581300,0.88533360
0.583300,0.87897927
0.585300,0.88296539
0.587300,0.88410455
0.589300,0.87589377
0.591300,0.88203245
0.593300,0.87835985
0.595300,0.88062978
0.597300,0.87960505
0.599300,0.88364869
0.601100,0.88449615
0.602700,0.88214874
0.604300,0.87878525
0.605900,0.88628846
0.607500,0.88346845
0.609100,0.88440621
0.610700,0.87338310
0.612300,0.88272291
0.613900,0.87861359
0.615500,0.88365859
0.617100,0.88693124
0.618700,0.88787085
0.620300,0.87834054
0.621900,0.87992328
0.623500,0.88328540
0.625100,0.88281876
0.626700,0.87964725
0.628300,0.88766569
0.629900,0.88384265
0.631700,0.88682562
0.633700,0.88440186
0.635700,0.89000434
0.637700,0.88244396
0.639700,0.88123041
0.641700,0.88179070
0.643700,0.87714714
0.645700,0.87788481
0.647700,0.88615716
0.649700,0.88076490
0.651700,0.88448560
0.653700,0.88504159
0.655700,0.88346106
0.657700,0.88559973
0.659700,0.88784254
0.661700,0.88708639
0.663700,0.88197392
0.665700,0.88345981
0.667700,0.88188261
0.670200,0.88308781
0.673200,0.88280988
0.676200,0.88420379
0.679200,0.88597244
0.682200,0.88392562
0.685200,0.88262349
0.688200,0.88794130
0.691200,0.88850468
0.694200,0.88644904
0.697200,0.88075382
0.700200,0.87628114
0.702000,0.87858552
0.704000,0.88064742
0.706000,0.88224143
0.708000,0.87652576
0.710000,0.88007385
0.712000,0.87433094
0.714000,0.87856692
0.716000,0.87648541
0.718000,0.87609714
0.720000,0.87713444
0.722000,0.87673330
0.724000,0.87246907
0.726000,0.87321824
0.728000,0.87076336
0.730000,0.86967033
0.732000,0.87052619
0.734000,0.87119454
0.736000,0.86937577
0.738000,0.87294871
0.740000,0.86446017
0.742000,0.86730337
0.744000,0.86116529
0.746000,0.86869866
0.748000,0.86281961
0.750500,0.86487269
0.753500,0.86234617
0.756500,0.86201674
0.759500,0.86014420
0.762500,0.85812980
0.765500,0.85339135
0.768500,0.85448170
0.771500,0.84762561
0.774500,0.84890103
0.777500,0.84770465
0.781000,0.84636992
0.785000,0.84375817
0.789000,0.84138513
0.793000,0.84020108
0.797000,0.82797986
0.801500,0.83063662
0.806500,0.83268595
0.811500,0.83017731
0.816500,0.82429045
0.822000,0.81875688
0.828000,0.82290381
0.835000,0.81839019
0.843000,0.82459414
0.851000,0.82534158
0.859000,0.81702316
0.871000,0.81336236
0.883000,0.81879985
0.894000,0.82013416
0.904000,0.82446176
0.914000,0.81834477
0.924000,0.81874710
0.933000,0.82850629
0.941000,0.83181185
0.949000,0.81346899
0.957000,0.81930184
0.964000,0.82505715
0.970000,0.82545167
0.976000,0.82572061
0.982000,0.82855618
0.988000,0.82603800
0.994000,0.82565224
1.000000,0.82541794
1.006000,0.82233685
1.012000,0.82943237
1.018000,0.82235271
1.023500,0.82257402
1.028500,0.82501769
1.033500,0.82085246
1.038500,0.82372791
1.043500,0.82336694
1.048500,0.82479602
1.053500,0.82631415
1.058500,0.82756078
1.063500,0.82691151
1.068500,0.83038753
1.073500,0.83157581
1.078500,0.83071637
1.083500,0.83395606
1.088500,0.83361447
1.093500,0.83654487
1.098500,0.83570278
1.103500,0.83869064
1.108500,0.84379590
1.113500,0.84576106
1.118500,0.84738618
1.123500,0.84951329
1.128500,0.84971482
1.133500,0.85239190
1.138500,0.85347426
1.143500,0.85542482
1.148500,0.85800481
1.153500,0.86304188
1.158500,0.86315602
1.163500,0.86381114
1.168500,0.86543936
1.173500,0.87209618
1.178500,0.87115258
1.183500,0.87415910
1.188500,0.88341355
1.193500,0.87741697
1.198500,0.87931699
1.203500,0.88032299
1.208500,0.88085395
1.213500,0.88382262
1.218500,0.89027941
1.223500,0.89108318
1.228500,0.89319605
1.233500,0.89298731
1.238500,0.89423609
1.243500,0.89788514
1.248500,0.89795828
1.253500,0.90315306
1.258500,0.90089333
1.263500,0.90594214
1.268500,0.90044016
1.273500,0.89645302
1.278500,0.89141887
1.283500,0.90645558
1.288500,0.90454084
1.293500,0.90053689
1.298500,0.90123844
1.303500,0.90300679
1.308500,0.90968406
1.313500,0.90625978
1.318500,0.90849668
1.323500,0.90839803
1.328500,0.91314954
1.333500,0.91099161
1.338500,0.91554689
1.343500,0.91457415
1.348500,0.91561776
1.353500,0.91750443
1.358500,0.91759163
1.363500,0.91797280
1.368500,0.91976297
1.373500,0.91086966
1.378500,0.91308630
1.383500,0.86495674
1.388500,0.69836313
1.393500,0.59784025
1.398500,0.74787736
1.403500,0.82268733
1.408500,0.84430313
1.413500,0.86304897
1.418500,0.87258357
1.423500,0.87040955
1.428500,0.86513221
1.433500,0.85633904
1.438500,0.85461700
1.443500,0.85264081
1.448500,0.85570765
1.453500,0.85614717
1.458500,0.86795384
1.463500,0.87463844
1.468500,0.87665480
1.473500,0.87990159
1.478500,0.88231200
1.483500,0.89354521
1.488500,0.88551438
1.493500,0.89312011
1.498500,0.88168246
1.503500,0.88197786
1.508500,0.88169307
1.513500,0.88000572
1.518500,0.87968779
1.523500,0.87223065
1.528500,0.87150204
1.534000,0.87074655
1.540000,0.87436938
1.546000,0.87374842
1.552000,0.87185860
1.558000,0.87614894
1.564000,0.87792325
1.570500,0.87969238
1.577500,0.88525236
1.584500,0.88880855
1.591500,0.89447016
1.598500,0.89638215
1.605500,0.90030336
1.612500,0.90327585
1.619500,0.90441269
1.626500,0.91290689
1.633500,0.91618997
1.640500,0.92101616
1.647500,0.91965365
1.654500,0.92334586
1.661500,0.92321748
1.668500,0.92577177
1.676000,0.92893314
1.684000,0.93178678
1.692000,0.93016267
1.700000,0.93657851
1.708000,0.93253821
1.716000,0.93349642
1.724000,0.93310046
1.732000,0.93085444
1.740000,0.92795622
1.748000,0.93055856
1.756000,0.93121707
1.764000,0.93028373
1.772000,0.92964429
1.780000,0.92485595
1.788000,0.92237800
1.796000,0.92130107
1.805000,0.91463721
1.815000,0.90863991
1.825000,0.90073752
1.835000,0.89433604
1.845000,0.89297903
1.855000,0.87869716
1.865000,0.86812907
1.875000,0.86103565
1.885000,0.85555965
1.895000,0.85150188
1.905000,0.84586960
1.915000,0.84539324
1.925000,0.84306473
1.935000,0.84318709
1.945000,0.83106750
1.955000,0.83204097
1.965000,0.82743365
1.975000,0.82251340
1.985000,0.81755042
1.995000,0.81321317
2.005000,0.81280518
2.015000,0.81618494
2.025000,0.83894104
2.035000,0.84239596
2.045000,0.84718978
2.055000,0.84846908
2.065000,0.83721727
2.075000,0.81028372
2.085000,0.81237465
2.095000,0.81765091
2.105000,0.82433444
2.115000,0.81221843
2.125000,0.80650163
2.135000,0.80986995
2.145000,0.81105363
2.155000,0.81788903
2.165000,0.80694491
2.175000,0.79990345
2.185000,0.80889058
2.195000,0.81182623
2.205000,0.80833113
2.215000,0.79031634
2.225000,0.74287379
2.235000,0.70281047
2.245000,0.67307949
2.255000,0.66293097
2.265000,0.65374470
2.275000,0.59808266
2.285000,0.48467320
2.295000,0.44073761
2.305000,0.39262962
2.315000,0.37871632
2.325000,0.49524891
2.335000,0.59289652
2.345000,0.61343545
2.355000,0.59625804
2.365000,0.59811980
2.375000,0.54661751
2.386000,0.51093763
2.400000,0.56012470
2.418000,0.62392360
2.440000,0.59484148
2.466000,0.56968874
2.496000,0.58778244
2.528000,0.58847785
2.560000,0.59047908
2.592000,0.59311271
2.624000,0.62868470
2.656000,0.63076788
2.688000,0.56306231
2.720000,0.27274045
2.752000,0.21382716
2.784000,0.14965270
2.816000,0.14539143
2.848000,0.18119141
2.880000,0.16327442
2.912000,0.13285358
2.944000,0.15746278
2.976000,0.17205031
